App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
Forwarding,POX EEL,Linear3,200,0,0,False,True,4.031063,3.109689,0.574769,0.160485,0.003270,0.017789,0.164259,0.000727,-0.000015
Forwarding,POX EEL,Linear3,200,0,0,True,True,3.713165,3.102361,0.512639,0.035778,0.003957,0.019373,0.038366,0.000612,-0.000016
Forwarding,POX EEL,Linear3,200,1,1,False,True,3.995698,3.047848,0.566969,0.155626,0.003395,0.017342,0.197844,0.006501,-0.000116
Forwarding,POX EEL,Linear3,200,1,1,True,True,3.665334,3.054755,0.507624,0.033992,0.003648,0.018757,0.042167,0.004225,-0.000114
Forwarding,POX EEL,Linear3,200,2,2,False,True,4.028079,3.071606,0.560801,0.138490,0.003414,0.021740,0.223996,0.007878,-0.000103
Forwarding,POX EEL,Linear3,200,2,2,True,True,3.672832,3.071873,0.495434,0.032027,0.003538,0.018091,0.046241,0.005467,-0.000101
Forwarding,POX EEL,Linear3,200,3,3,False,True,4.038471,3.051582,0.554700,0.140395,0.002929,0.016914,0.262932,0.008796,-0.000174
Forwarding,POX EEL,Linear3,200,3,3,True,True,3.665847,3.048901,0.499829,0.033375,0.003597,0.018072,0.055214,0.006601,-0.000196
Forwarding,POX EEL,Linear3,200,4,4,False,True,4.137242,3.151858,0.555480,0.092292,0.003387,0.057051,0.266761,0.010161,-0.000181
Forwarding,POX EEL,Linear3,200,4,4,True,True,3.673499,3.053378,0.500939,0.031841,0.003337,0.018448,0.057924,0.007397,-0.000173
Forwarding,POX EEL,Linear3,200,5,5,False,True,4.111676,3.138378,0.552831,0.084988,0.003545,0.018159,0.302141,0.011332,-0.000250
Forwarding,POX EEL,Linear3,200,5,5,True,True,3.698145,3.065428,0.500467,0.031089,0.004336,0.018884,0.067929,0.009694,-0.000253
Forwarding,POX EEL,Linear3,200,6,6,False,True,4.243719,3.216287,0.559295,0.088331,0.003595,0.018673,0.343420,0.013582,-0.000487
Forwarding,POX EEL,Linear3,200,6,6,True,True,3.661383,3.011076,0.489314,0.030869,0.003656,0.018788,0.094319,0.012273,-0.001028
Forwarding,POX EEL,Linear3,200,7,7,False,True,4.050400,3.091144,0.517429,0.080686,0.003324,0.018199,0.324660,0.014450,-0.000446
Forwarding,POX EEL,Linear3,200,7,7,True,True,3.711148,3.056380,0.479305,0.028228,0.003226,0.019091,0.107655,0.015227,-0.001976
Forwarding,POX EEL,Linear3,200,8,8,False,True,4.200235,3.140838,0.541685,0.076266,0.003594,0.017690,0.400161,0.019389,-0.000558
Forwarding,POX EEL,Linear3,200,8,8,True,True,3.808412,3.100709,0.487348,0.028723,0.003325,0.018262,0.149006,0.018688,-0.002289
Forwarding,POX EEL,Linear3,200,9,9,False,True,4.353880,3.267427,0.540658,0.071583,0.003268,0.020737,0.429313,0.020259,-0.000577
Forwarding,POX EEL,Linear3,200,9,9,True,True,3.830410,3.050822,0.486871,0.027536,0.003245,0.019539,0.215541,0.023329,-0.003465
Forwarding,POX EEL,Linear3,200,10,10,False,True,4.435873,3.236207,0.636325,0.072762,0.003710,0.021966,0.440745,0.023383,-0.000718
Forwarding,POX EEL,Linear3,200,10,10,True,True,3.906210,3.068381,0.495982,0.029101,0.003304,0.018410,0.259125,0.027252,-0.004592
Forwarding,POX EEL,Linear3,200,inf,inf,False,True,4.381877,3.221700,0.478305,0.066553,0.003191,0.016696,0.520305,0.071556,-0.003509
