name,run,total_time_sec,
trace_pox_eel_learningswitch-StarTopology2,1,0.223545,
trace_pox_eel_learningswitch-StarTopology2,10,0.187998,
trace_pox_eel_learningswitch-StarTopology2,11,0.183124,
trace_pox_eel_learningswitch-StarTopology2,12,0.172711,
trace_pox_eel_learningswitch-StarTopology2,13,0.179491,
trace_pox_eel_learningswitch-StarTopology2,14,0.19166,
trace_pox_eel_learningswitch-StarTopology2,15,0.159366,
trace_pox_eel_learningswitch-StarTopology2,16,0.180139,
trace_pox_eel_learningswitch-StarTopology2,17,0.173796,
trace_pox_eel_learningswitch-StarTopology2,18,0.165067,
trace_pox_eel_learningswitch-StarTopology2,19,0.192601,
trace_pox_eel_learningswitch-StarTopology2,2,0.20349,
trace_pox_eel_learningswitch-StarTopology2,20,0.199575,
trace_pox_eel_learningswitch-StarTopology2,3,0.200918,
trace_pox_eel_learningswitch-StarTopology2,4,0.185861,
trace_pox_eel_learningswitch-StarTopology2,5,0.189772,
trace_pox_eel_learningswitch-StarTopology2,6,0.158973,
trace_pox_eel_learningswitch-StarTopology2,7,0.203956,
trace_pox_eel_learningswitch-StarTopology2,8,0.217759,
trace_pox_eel_learningswitch-StarTopology2,9,0.209603,0.188885
trace_pox_eel_learningswitch-MeshTopology2,1,0.25898,
trace_pox_eel_learningswitch-MeshTopology2,10,0.238019,
trace_pox_eel_learningswitch-MeshTopology2,11,0.239414,
trace_pox_eel_learningswitch-MeshTopology2,12,0.251589,
trace_pox_eel_learningswitch-MeshTopology2,13,0.241957,
trace_pox_eel_learningswitch-MeshTopology2,14,0.237961,
trace_pox_eel_learningswitch-MeshTopology2,15,0.239706,
trace_pox_eel_learningswitch-MeshTopology2,16,0.233705,
trace_pox_eel_learningswitch-MeshTopology2,17,0.235113,
trace_pox_eel_learningswitch-MeshTopology2,18,0.237321,
trace_pox_eel_learningswitch-MeshTopology2,19,0.236485,
trace_pox_eel_learningswitch-MeshTopology2,2,0.241658,
trace_pox_eel_learningswitch-MeshTopology2,20,0.23772,
trace_pox_eel_learningswitch-MeshTopology2,3,0.235834,
trace_pox_eel_learningswitch-MeshTopology2,4,0.240424,
trace_pox_eel_learningswitch-MeshTopology2,5,0.237557,
trace_pox_eel_learningswitch-MeshTopology2,6,0.236383,
trace_pox_eel_learningswitch-MeshTopology2,7,0.245974,
trace_pox_eel_learningswitch-MeshTopology2,8,0.23654,
trace_pox_eel_learningswitch-MeshTopology2,9,0.237885,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,1,17.777825,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,10,17.548146,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,11,17.66135,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,12,17.516616,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,13,17.529818,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,14,17.642767,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,15,17.723611,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,16,17.6646,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,17,17.774551,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,18,17.608414,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,19,17.541729,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,2,17.554079,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,20,17.537344,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,3,17.609032,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,4,17.766862,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,5,17.653907,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,6,17.59229,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,7,17.636272,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,8,17.712672,
trace_pox_eel_learningswitch-BinaryLeafTreeTopology2,9,17.574305,
trace_floodlight_learningswitch-StarTopology2,1,0.244438,
trace_floodlight_learningswitch-StarTopology2,10,0.244035,
trace_floodlight_learningswitch-StarTopology2,11,0.239502,
trace_floodlight_learningswitch-StarTopology2,12,0.245182,
trace_floodlight_learningswitch-StarTopology2,13,0.240636,
trace_floodlight_learningswitch-StarTopology2,14,0.239218,
trace_floodlight_learningswitch-StarTopology2,15,0.239512,
trace_floodlight_learningswitch-StarTopology2,16,0.236422,
trace_floodlight_learningswitch-StarTopology2,17,0.235427,
trace_floodlight_learningswitch-StarTopology2,18,0.244315,
trace_floodlight_learningswitch-StarTopology2,19,0.237962,
trace_floodlight_learningswitch-StarTopology2,2,0.244276,
trace_floodlight_learningswitch-StarTopology2,20,0.240079,
trace_floodlight_learningswitch-StarTopology2,3,0.247255,
trace_floodlight_learningswitch-StarTopology2,4,0.241847,
trace_floodlight_learningswitch-StarTopology2,5,0.240142,
trace_floodlight_learningswitch-StarTopology2,6,0.241777,
trace_floodlight_learningswitch-StarTopology2,7,0.242803,
trace_floodlight_learningswitch-StarTopology2,8,0.240863,
trace_floodlight_learningswitch-StarTopology2,9,0.240756,
trace_floodlight_learningswitch-MeshTopology2,1,0.165514,
trace_floodlight_learningswitch-MeshTopology2,10,0.159787,
trace_floodlight_learningswitch-MeshTopology2,11,0.155694,
trace_floodlight_learningswitch-MeshTopology2,12,0.160219,
trace_floodlight_learningswitch-MeshTopology2,13,0.157467,
trace_floodlight_learningswitch-MeshTopology2,14,0.160867,
trace_floodlight_learningswitch-MeshTopology2,15,0.156583,
trace_floodlight_learningswitch-MeshTopology2,16,0.162187,
trace_floodlight_learningswitch-MeshTopology2,17,0.157397,
trace_floodlight_learningswitch-MeshTopology2,18,0.156975,
trace_floodlight_learningswitch-MeshTopology2,19,0.156973,
trace_floodlight_learningswitch-MeshTopology2,2,0.158363,
trace_floodlight_learningswitch-MeshTopology2,20,0.158219,
trace_floodlight_learningswitch-MeshTopology2,3,0.163366,
trace_floodlight_learningswitch-MeshTopology2,4,0.156311,
trace_floodlight_learningswitch-MeshTopology2,5,0.159176,
trace_floodlight_learningswitch-MeshTopology2,6,0.15864,
trace_floodlight_learningswitch-MeshTopology2,7,0.159097,
trace_floodlight_learningswitch-MeshTopology2,8,0.158159,
trace_floodlight_learningswitch-MeshTopology2,9,0.157847,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,1,32.600145,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,10,32.218483,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,11,32.443517,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,12,32.163802,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,13,32.422487,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,14,32.342559,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,15,32.411882,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,16,32.481349,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,17,32.173531,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,18,32.41625,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,19,32.314982,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,2,32.554061,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,20,32.534698,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,3,32.81207,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,4,32.420797,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,5,32.532009,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,6,33.101479,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,7,32.43865,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,8,32.705649,
trace_floodlight_learningswitch-BinaryLeafTreeTopology2,9,32.258728,
trace_pox_l2_multi-StarTopology2,1,0.061614,
trace_pox_l2_multi-StarTopology2,10,0.053509,
trace_pox_l2_multi-StarTopology2,11,0.054532,
trace_pox_l2_multi-StarTopology2,12,0.053926,
trace_pox_l2_multi-StarTopology2,13,0.053667,
trace_pox_l2_multi-StarTopology2,14,0.053616,
trace_pox_l2_multi-StarTopology2,15,0.055408,
trace_pox_l2_multi-StarTopology2,16,0.054265,
trace_pox_l2_multi-StarTopology2,17,0.054645,
trace_pox_l2_multi-StarTopology2,18,0.053665,
trace_pox_l2_multi-StarTopology2,19,0.053612,
trace_pox_l2_multi-StarTopology2,2,0.053597,
trace_pox_l2_multi-StarTopology2,20,0.054094,
trace_pox_l2_multi-StarTopology2,3,0.053508,
trace_pox_l2_multi-StarTopology2,4,0.054036,
trace_pox_l2_multi-StarTopology2,5,0.054028,
trace_pox_l2_multi-StarTopology2,6,0.057267,
trace_pox_l2_multi-StarTopology2,7,0.053206,
trace_pox_l2_multi-StarTopology2,8,0.054006,
trace_pox_l2_multi-StarTopology2,9,0.055292,
trace_pox_l2_multi-MeshTopology2,1,0.172796,
trace_pox_l2_multi-MeshTopology2,10,0.167377,
trace_pox_l2_multi-MeshTopology2,11,0.166412,
trace_pox_l2_multi-MeshTopology2,12,0.163183,
trace_pox_l2_multi-MeshTopology2,13,0.164387,
trace_pox_l2_multi-MeshTopology2,14,0.168218,
trace_pox_l2_multi-MeshTopology2,15,0.164597,
trace_pox_l2_multi-MeshTopology2,16,0.164431,
trace_pox_l2_multi-MeshTopology2,17,0.163929,
trace_pox_l2_multi-MeshTopology2,18,0.165557,
trace_pox_l2_multi-MeshTopology2,19,0.172881,
trace_pox_l2_multi-MeshTopology2,2,0.165521,
trace_pox_l2_multi-MeshTopology2,20,0.165657,
trace_pox_l2_multi-MeshTopology2,3,0.163179,
trace_pox_l2_multi-MeshTopology2,4,0.166795,
trace_pox_l2_multi-MeshTopology2,5,0.167339,
trace_pox_l2_multi-MeshTopology2,6,0.166509,
trace_pox_l2_multi-MeshTopology2,7,0.163558,
trace_pox_l2_multi-MeshTopology2,8,0.166812,
trace_pox_l2_multi-MeshTopology2,9,0.16576,
trace_pox_l2_multi-BinaryLeafTreeTopology2,1,6.735343,
trace_pox_l2_multi-BinaryLeafTreeTopology2,10,6.720063,
trace_pox_l2_multi-BinaryLeafTreeTopology2,11,6.751283,
trace_pox_l2_multi-BinaryLeafTreeTopology2,12,6.736947,
trace_pox_l2_multi-BinaryLeafTreeTopology2,13,6.732693,
trace_pox_l2_multi-BinaryLeafTreeTopology2,14,6.739426,
trace_pox_l2_multi-BinaryLeafTreeTopology2,15,6.730907,
trace_pox_l2_multi-BinaryLeafTreeTopology2,16,6.905663,
trace_pox_l2_multi-BinaryLeafTreeTopology2,17,6.750532,
trace_pox_l2_multi-BinaryLeafTreeTopology2,18,6.708165,
trace_pox_l2_multi-BinaryLeafTreeTopology2,19,6.724009,
trace_pox_l2_multi-BinaryLeafTreeTopology2,2,6.752676,
trace_pox_l2_multi-BinaryLeafTreeTopology2,20,6.763595,
trace_pox_l2_multi-BinaryLeafTreeTopology2,3,6.81842,
