key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
num_edges,1615,1586,1577,1545,1511,1479,1448,1419,1395,1375,1360,1112
num_ops,371,371,371,371,371,371,371,371,371,371,371,371
num_read,227,227,227,227,227,227,227,227,227,227,227,227
num_writes,144,144,144,144,144,144,144,144,144,144,144,144
num_time_edges,551,519,507,470,433,396,358,322,294,271,252,0
num_races,6156,6156,6156,6156,6156,6156,6156,6156,6156,6156,6156,6156
num_harmful,0,32,44,81,118,155,193,229,257,280,299,503
num_commute,5605,5605,5605,5605,5605,5605,5605,5605,5605,5605,5605,5605
num_covered,0,0,0,0,0,0,0,0,0,0,0,48
num_time_filtered_races,551,519,507,470,433,396,358,322,294,271,252,0
num_pkts,142,142,142,142,142,142,142,142,142,142,142,142
num_per_pkt_races,0,6,10,35,61,84,96,109,113,119,122,142
num_per_pkt_inconsistent,0,1,6,7,8,10,12,14,14,14,14,15
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,8
num_per_pkt_entry_version_race,0,5,4,28,53,74,84,95,99,105,108,119
num_per_pkt_inconsistent_no_repeat,0,1,6,7,8,8,10,12,11,12,10,11
num_versions,14,14,14,14,14,14,14,14,14,14,14,14
num_racing_versions,0,1,3,6,8,9,10,11,12,12,12,14
