rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,148,187,335,509,149,658,0,9512,9512,0,0,0,0,0,0,177,0
0,0,True,True,148,187,335,509,325,834,0,9516,9516,0,0,0,0,0,0,177,0
1,1,False,True,148,187,335,505,126,631,27,9512,9539,0,4,3,0,1,2,177,0
1,1,True,True,148,187,335,505,302,807,27,9516,9543,0,4,3,0,1,2,177,0
2,2,False,True,148,187,335,499,117,616,42,9512,9554,0,10,4,0,6,3,177,1
2,2,True,True,148,187,335,499,293,792,42,9516,9558,0,10,4,0,6,3,177,1
3,3,False,True,148,187,335,474,102,576,82,9512,9594,0,34,4,0,30,3,177,1
3,3,True,True,148,187,335,474,278,752,82,9516,9598,0,34,4,0,30,3,177,1
4,4,False,True,148,187,335,447,91,538,120,9512,9632,0,57,5,0,52,4,177,1
4,4,True,True,148,187,335,447,267,714,120,9516,9636,0,57,5,0,52,4,177,1
5,5,False,True,148,187,335,415,85,500,158,9512,9670,0,74,5,0,69,4,177,1
5,5,True,True,148,187,335,415,261,676,158,9516,9674,0,74,5,0,69,4,177,1
6,6,False,True,148,187,335,378,74,452,206,9512,9718,0,83,7,0,76,5,177,1
6,6,True,True,148,187,335,378,250,628,206,9516,9722,0,83,7,0,76,5,177,1
7,7,False,True,148,187,335,343,63,406,252,9512,9764,0,93,8,0,85,6,177,1
7,7,True,True,148,187,335,343,239,582,252,9516,9768,0,93,8,0,85,6,177,1
8,8,False,True,148,187,335,325,55,380,278,9512,9790,0,95,8,0,87,6,177,1
8,8,True,True,148,187,335,325,231,556,278,9516,9794,0,95,8,0,87,6,177,1
9,9,False,True,148,187,335,303,50,353,305,9512,9817,0,97,10,0,87,8,177,1
9,9,True,True,148,187,335,303,216,519,315,9516,9831,0,97,10,0,87,8,177,2
10,10,False,True,148,187,335,283,42,325,333,9512,9845,0,99,10,0,89,8,177,1
10,10,True,True,148,187,335,283,192,475,359,9516,9875,0,99,10,0,89,8,177,2
inf,inf,False,True,148,187,335,0,0,0,658,9512,10170,25,127,12,4,111,9,177,1
inf,inf,True,True,148,187,335,0,0,0,834,9516,10350,0,127,12,0,115,9,177,3
