rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,2.694863,1.980036,0.582512,0.034956,0.002978,0.089347,0.003766,0.001196,-0.000042
0,0,True,True,2.893993,2.057780,0.705013,0.032917,0.003435,0.090111,0.003193,0.001464,-0.000043
1,1,False,True,2.766011,2.048913,0.578932,0.033257,0.002838,0.092936,0.004838,0.004169,-0.000099
1,1,True,True,2.795404,2.006315,0.644015,0.034651,0.003116,0.097840,0.004896,0.004429,-0.000105
2,2,True,True,2.965567,2.177041,0.627386,0.034463,0.003271,0.101667,0.007017,0.014526,-0.000155
2,2,False,True,3.021773,2.297753,0.580352,0.031424,0.002731,0.089567,0.007571,0.012197,-0.000146
3,3,False,True,2.692449,1.937217,0.585134,0.033733,0.004237,0.097876,0.009806,0.024206,-0.000200
3,3,True,True,2.820855,2.042365,0.615476,0.034317,0.003016,0.092206,0.008930,0.024326,-0.000182
4,4,True,True,2.741477,1.967880,0.591476,0.032771,0.003120,0.095672,0.011969,0.038321,-0.000236
4,4,False,True,3.022326,2.250453,0.583613,0.029469,0.003022,0.106415,0.011733,0.037359,-0.000229
5,5,False,True,2.707261,1.945369,0.576640,0.027309,0.002813,0.090056,0.014069,0.050690,-0.000281
5,5,True,True,2.927621,2.155149,0.585494,0.029701,0.002981,0.091250,0.014185,0.048535,-0.000291
6,6,False,True,2.958245,2.057746,0.658894,0.030338,0.004006,0.112018,0.019054,0.075778,-0.000371
6,6,True,True,2.799202,1.883344,0.652080,0.028917,0.003328,0.120840,0.023933,0.085490,-0.001228
7,7,False,True,2.989575,2.075834,0.648980,0.034914,0.004164,0.116081,0.021205,0.087730,-0.000613
7,7,True,True,3.149880,2.091973,0.812938,0.041187,0.006244,0.104361,0.017998,0.074773,-0.000368
8,8,True,True,3.178343,2.332963,0.612341,0.028140,0.002842,0.092106,0.020375,0.088685,-0.000853
8,8,False,True,2.805349,2.002375,0.573030,0.026853,0.003305,0.090896,0.019522,0.088673,-0.000648
9,9,False,True,2.741181,1.876555,0.573855,0.027688,0.004992,0.128091,0.023299,0.106192,-0.000467
9,9,True,True,2.704855,1.889684,0.582383,0.026393,0.002755,0.088996,0.021456,0.091837,-0.001313
10,10,True,True,2.888192,2.061135,0.584484,0.026604,0.002869,0.088186,0.022694,0.100568,-0.001611
10,10,False,True,2.745523,1.922761,0.573260,0.024960,0.003501,0.095286,0.022564,0.102745,-0.000407
inf,inf,False,True,3.842920,2.098924,1.227333,0.047886,0.006517,0.150079,0.066756,0.244836,-0.000534
inf,inf,True,True,3.616417,2.593726,0.656778,0.023174,0.003588,0.096815,0.039920,0.191423,-0.010952
