rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,2.381289,1.831076,0.483794,0.016895,0.001713,0.045784,0.001260,0.000707,-0.000028
1,1,False,True,2.513203,2.004948,0.436946,0.019152,0.001833,0.045124,0.002031,0.003029,-0.000102
2,2,False,True,2.519007,2.003707,0.440540,0.018591,0.002230,0.046820,0.002269,0.004645,-0.000171
3,3,False,True,2.318297,1.889752,0.349401,0.016793,0.001936,0.046838,0.002883,0.010393,-0.000266
4,4,False,True,2.156190,1.633060,0.438745,0.017972,0.001744,0.045033,0.003102,0.016052,-0.000447
5,5,False,True,2.652866,2.141251,0.417680,0.016155,0.001690,0.045372,0.003797,0.026305,-0.000582
6,6,False,True,2.471815,2.009410,0.362079,0.015827,0.001732,0.047975,0.004582,0.029211,-0.000965
7,7,False,True,2.125912,1.671420,0.353537,0.014736,0.002419,0.043037,0.004588,0.034934,-0.001207
8,8,False,True,2.063324,1.611717,0.345194,0.014099,0.001715,0.046116,0.005106,0.037975,-0.001369
9,9,False,True,2.071353,1.609456,0.349632,0.013994,0.001697,0.046863,0.005966,0.042186,-0.001523
10,10,False,True,2.079278,1.624722,0.343126,0.013476,0.001626,0.043311,0.005841,0.045487,-0.001656
inf,inf,False,True,2.535877,1.892980,0.459146,0.014145,0.001645,0.017476,0.012565,0.130902,-0.006945
