key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593
num_writes,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
num_ops,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158
num_rw_time_edges,2215,2187,2146,2089,2040,1986,1929,1881,1840,1791,1748,0,2215,2187,2146,2089,2040,1986,1929,1881,1840,1791,1748,0
num_ww_time_edges,967,932,900,869,834,805,777,754,726,691,663,0,1504,1469,1437,1406,1371,1342,1314,1291,1254,1210,1172,0
num_time_edges,3182,3119,3046,2958,2874,2791,2706,2635,2566,2482,2411,0,3719,3656,3583,3495,3411,3328,3243,3172,3094,3001,2920,0
num_harmful,0,63,136,224,308,391,476,547,616,700,771,3182,0,63,136,224,308,391,476,547,625,718,799,3719
num_commute,83880,83880,83880,83880,83880,83880,83880,83880,83880,83880,83880,83880,83901,83901,83901,83901,83901,83901,83901,83901,83901,83901,83901,83901
num_races,83880,83943,84016,84104,84188,84271,84356,84427,84496,84580,84651,87062,83901,83964,84037,84125,84209,84292,84377,84448,84526,84619,84700,87620
num_covered,0,0,0,0,0,0,0,0,0,1,4,289,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,27,61,105,139,164,184,202,209,227,236,378,0,27,61,105,139,164,184,202,209,227,236,378
num_per_pkt_inconsistent,0,9,24,39,59,77,98,115,126,138,149,254,0,9,24,39,59,77,98,115,126,138,149,256
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_race_version,0,18,37,66,80,87,86,87,83,89,87,122,0,18,37,66,80,87,86,87,83,89,87,122
num_per_pkt_inconsistent_no_repeat,0,7,19,31,42,55,58,63,68,76,85,111,0,7,19,31,42,55,58,63,68,76,85,112
