rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,2689,4911,1091,590,501,2683,69062,0,66379,0,2683,388,0,0,0,0,0,423,0
1,1,False,True,2689,4883,1091,590,501,2643,69062,40,66379,0,2643,388,20,10,0,10,9,423,0
2,2,False,True,2689,4849,1091,590,501,2586,69062,97,66379,0,2586,388,53,23,0,30,18,423,0
3,3,False,True,2689,4790,1091,590,501,2513,69062,170,66379,0,2513,388,101,33,0,68,25,423,0
4,4,False,True,2689,4727,1091,590,501,2438,69062,245,66379,0,2438,388,141,39,0,102,30,423,0
5,5,False,True,2689,4651,1091,590,501,2344,69062,339,66379,0,2344,388,174,52,0,122,39,423,0
6,6,False,True,2689,4576,1091,590,501,2247,69062,436,66379,0,2247,388,197,62,0,135,39,423,0
7,7,False,True,2689,4520,1091,590,501,2176,69062,507,66379,0,2176,388,211,66,0,145,42,423,0
8,8,False,True,2689,4467,1091,590,501,2110,69062,573,66379,0,2110,388,226,70,0,156,44,423,0
9,9,False,True,2689,4410,1091,590,501,2044,69062,639,66379,0,2044,388,240,73,0,167,44,423,0
10,10,False,True,2689,4365,1091,590,501,1991,69062,691,66379,1,1991,388,253,75,0,178,47,423,0
inf,inf,False,True,2689,2496,1091,590,501,0,69062,2412,66379,271,0,388,385,109,33,243,57,423,0
