key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
num_writes,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
num_ops,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
num_rw_time_edges,946,895,818,743,666,590,539,483,449,391,331,0,946,895,818,743,666,590,539,483,449,391,331,0
num_ww_time_edges,479,413,380,341,305,280,250,219,203,183,169,0,664,598,565,526,490,457,419,376,357,322,305,0
num_time_edges,1425,1308,1198,1084,971,870,789,702,652,574,500,0,1610,1493,1383,1269,1156,1047,958,859,806,713,636,0
num_harmful,0,117,227,341,454,555,636,723,773,851,925,1425,0,117,227,341,454,563,652,751,804,897,974,1610
num_commute,15361,15361,15361,15361,15361,15361,15361,15361,15361,15361,15361,15361,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375
num_races,15361,15478,15588,15702,15815,15916,15997,16084,16134,16212,16286,16786,15375,15492,15602,15716,15829,15938,16027,16126,16179,16272,16349,16985
num_covered,0,0,0,0,0,0,0,0,0,0,8,40,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,18,23,28,28,28,28,28,28,28,28,28,0,18,23,28,28,28,28,28,28,28,28,28
num_per_pkt_inconsistent,0,11,18,20,20,20,20,20,20,20,20,20,0,11,18,20,20,20,20,20,20,20,20,20
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,7,5,8,8,8,8,8,8,8,8,8,0,7,5,8,8,8,8,8,8,8,8,8
num_per_pkt_inconsistent_no_repeat,0,10,17,18,18,18,16,16,15,18,19,12,0,10,17,18,18,18,16,16,15,18,19,12
num_versions,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
