rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,48,201,249,946,479,1425,0,15361,15361,0,0,0,0,0,0,18,0
0,0,True,True,48,201,249,946,664,1610,0,15375,15375,0,0,0,0,0,0,18,0
1,1,False,True,48,201,249,895,413,1308,117,15361,15478,0,18,11,0,7,10,18,0
1,1,True,True,48,201,249,895,598,1493,117,15375,15492,0,18,11,0,7,10,18,0
2,2,False,True,48,201,249,818,380,1198,227,15361,15588,0,23,18,0,5,17,18,0
2,2,True,True,48,201,249,818,565,1383,227,15375,15602,0,23,18,0,5,17,18,0
3,3,False,True,48,201,249,743,341,1084,341,15361,15702,0,28,20,0,8,18,18,0
3,3,True,True,48,201,249,743,526,1269,341,15375,15716,0,28,20,0,8,18,18,0
4,4,False,True,48,201,249,666,305,971,454,15361,15815,0,28,20,0,8,18,18,0
4,4,True,True,48,201,249,666,490,1156,454,15375,15829,0,28,20,0,8,18,18,0
5,5,False,True,48,201,249,590,280,870,555,15361,15916,0,28,20,0,8,18,18,0
5,5,True,True,48,201,249,590,457,1047,563,15375,15938,0,28,20,0,8,18,18,1
6,6,False,True,48,201,249,539,250,789,636,15361,15997,0,28,20,0,8,16,18,0
6,6,True,True,48,201,249,539,419,958,652,15375,16027,0,28,20,0,8,16,18,1
7,7,False,True,48,201,249,483,219,702,723,15361,16084,0,28,20,0,8,16,18,0
7,7,True,True,48,201,249,483,376,859,751,15375,16126,0,28,20,0,8,16,18,1
8,8,False,True,48,201,249,449,203,652,773,15361,16134,0,28,20,0,8,15,18,0
8,8,True,True,48,201,249,449,357,806,804,15375,16179,0,28,20,0,8,15,18,1
9,9,False,True,48,201,249,391,183,574,851,15361,16212,0,28,20,0,8,18,18,0
9,9,True,True,48,201,249,391,322,713,897,15375,16272,0,28,20,0,8,18,18,1
10,10,False,True,48,201,249,331,169,500,925,15361,16286,8,28,20,0,8,19,18,0
10,10,True,True,48,201,249,331,305,636,974,15375,16349,0,28,20,0,8,19,18,1
inf,inf,False,True,48,201,249,0,0,0,1425,15361,16786,40,28,20,0,8,12,18,0
inf,inf,True,True,48,201,249,0,0,0,1610,15375,16985,0,28,20,0,8,12,18,1
