rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.242619,0.122909,0.080926,0.021266,0.000381,0.004091,0.012782,0.000228,0.000008
1,1,False,True,0.256152,0.122142,0.078181,0.015322,0.000335,0.003940,0.034505,0.001696,0.000019
2,2,False,True,0.247118,0.123352,0.076486,0.008088,0.000352,0.004356,0.032164,0.002261,0.000047
3,3,False,True,0.250906,0.121203,0.075611,0.006852,0.000333,0.004036,0.039517,0.003229,0.000114
4,4,False,True,0.253238,0.122322,0.075315,0.006225,0.000332,0.004049,0.041228,0.003589,0.000167
5,5,False,True,0.253772,0.121148,0.075227,0.005636,0.000333,0.004016,0.042800,0.004372,0.000228
6,6,False,True,0.347293,0.159775,0.100588,0.006776,0.000455,0.005012,0.067763,0.006556,0.000354
7,7,False,True,0.266823,0.122821,0.076372,0.004773,0.000336,0.004111,0.052718,0.005418,0.000262
8,8,False,True,0.266743,0.123196,0.076065,0.004728,0.000336,0.004132,0.052178,0.005833,0.000264
9,9,False,True,0.266327,0.123472,0.076437,0.004671,0.000349,0.004195,0.050519,0.006401,0.000272
10,10,False,True,0.260039,0.121957,0.074566,0.004555,0.000335,0.004128,0.046993,0.007149,0.000344
inf,inf,False,True,0.258130,0.121916,0.073930,0.004467,0.000340,0.004257,0.043820,0.008858,0.000526
