rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.949905,0.393907,0.506536,0.025379,0.000186,0.012712,0.010893,0.000243,-0.000014
1,1,False,True,1.015679,0.398859,0.499406,0.017741,0.000181,0.012927,0.082800,0.003323,-0.000408
2,2,False,True,1.040985,0.395660,0.501908,0.012212,0.000180,0.012716,0.111416,0.006264,-0.000594
3,3,False,True,1.032172,0.392700,0.492143,0.010120,0.000173,0.012705,0.114519,0.008963,-0.000806
4,4,False,True,1.030050,0.395353,0.490253,0.008288,0.000180,0.013217,0.109749,0.011956,-0.001016
5,5,False,True,1.050270,0.408107,0.491363,0.006597,0.000174,0.012723,0.115215,0.014897,-0.001154
6,6,False,True,1.034031,0.398841,0.490404,0.005783,0.000178,0.013215,0.107150,0.017104,-0.001317
7,7,False,True,1.041907,0.401160,0.489200,0.005206,0.000175,0.013014,0.112664,0.018991,-0.001463
8,8,False,True,1.039935,0.399153,0.486908,0.005045,0.000173,0.013220,0.113957,0.019920,-0.001524
9,9,False,True,1.026888,0.396940,0.482614,0.004681,0.000176,0.013076,0.105141,0.022589,-0.001637
10,10,False,True,1.023099,0.400848,0.478377,0.004986,0.000214,0.013509,0.099435,0.023996,-0.001697
inf,inf,False,True,0.996377,0.401795,0.460653,0.003598,0.000179,0.012890,0.077105,0.037485,-0.002636
