key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,798,798,798,798,798,798,798,798,798,798,798,798
num_edges,1182,1154,1130,1101,1080,1055,1037,1024,994,981,969,827
num_ops,248,248,248,248,248,248,248,248,248,248,248,248
num_read,168,168,168,168,168,168,168,168,168,168,168,168
num_writes,80,80,80,80,80,80,80,80,80,80,80,80
num_time_edges,436,405,375,343,310,282,254,236,199,176,156,0
num_races,4124,4124,4124,4124,4124,4124,4124,4124,4124,4124,4124,4124
num_harmful,0,31,61,93,126,154,182,200,235,257,277,355
num_commute,3688,3688,3688,3688,3688,3688,3688,3688,3688,3688,3688,3688
num_covered,0,0,0,0,0,0,0,0,2,3,3,81
num_time_filtered_races,436,405,375,343,310,282,254,236,199,176,156,0
num_pkts,74,74,74,74,74,74,74,74,74,74,74,74
num_per_pkt_races,0,5,20,35,49,51,53,57,61,67,69,72
num_per_pkt_inconsistent,0,0,9,11,16,19,21,21,25,28,31,42
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,5,11,24,33,32,32,36,36,39,38,30
num_per_pkt_inconsistent_no_repeat,0,0,6,7,12,13,13,13,18,19,17,13
num_versions,17,17,17,17,17,17,17,17,17,17,17,17
num_racing_versions,0,1,4,8,11,14,17,17,18,19,20,25
