rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,798,1182,248,168,80,436,4124,0,3688,0,436,74,0,0,0,0,0,17,0
1,1,False,True,798,1154,248,168,80,405,4124,31,3688,0,405,74,5,0,0,5,0,17,1
2,2,False,True,798,1130,248,168,80,375,4124,61,3688,0,375,74,20,9,0,11,6,17,4
3,3,False,True,798,1101,248,168,80,343,4124,93,3688,0,343,74,35,11,0,24,7,17,8
4,4,False,True,798,1080,248,168,80,310,4124,126,3688,0,310,74,49,16,0,33,12,17,11
5,5,False,True,798,1055,248,168,80,282,4124,154,3688,0,282,74,51,19,0,32,13,17,14
6,6,False,True,798,1037,248,168,80,254,4124,182,3688,0,254,74,53,21,0,32,13,17,17
7,7,False,True,798,1024,248,168,80,236,4124,200,3688,0,236,74,57,21,0,36,13,17,17
8,8,False,True,798,994,248,168,80,199,4124,235,3688,2,199,74,61,25,0,36,18,17,18
9,9,False,True,798,981,248,168,80,176,4124,257,3688,3,176,74,67,28,0,39,19,17,19
10,10,False,True,798,969,248,168,80,156,4124,277,3688,3,156,74,69,31,0,38,17,17,20
inf,inf,False,True,798,827,248,168,80,0,4124,355,3688,81,0,74,72,42,0,30,13,17,25
