key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,218,218,218,218,218,218,218,218,218,218,218,218
num_edges,454,434,411,375,357,349,338,311,300,288,275,193
num_ops,66,66,66,66,66,66,66,66,66,66,66,66
num_read,41,41,41,41,41,41,41,41,41,41,41,41
num_writes,25,25,25,25,25,25,25,25,25,25,25,25
num_time_edges,261,241,218,182,164,156,145,118,107,95,82,0
num_races,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
num_harmful,0,20,43,79,97,105,116,143,154,166,179,261
num_commute,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
num_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_time_filtered_races,261,241,218,182,164,156,145,118,107,95,82,0
num_pkts,41,41,41,41,41,41,41,41,41,41,41,41
num_per_pkt_races,0,20,35,41,41,41,41,41,41,41,41,41
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,20,35,41,41,41,41,41,41,41,41,41
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,8,8,8,8,8,8,8,8,8,8,8,8
num_racing_versions,0,0,1,4,4,4,4,5,5,5,5,9
