rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,39,194,233,1406,708,2114,0,23980,23980,0,0,0,0,0,0,10,0
0,0,True,True,39,194,233,1406,885,2291,0,23996,23996,0,0,0,0,0,0,10,0
1,1,False,True,39,194,233,1353,641,1994,120,23980,24100,0,26,0,0,26,0,10,0
1,1,True,True,39,194,233,1353,818,2171,120,23996,24116,0,26,0,0,26,0,10,0
2,2,False,True,39,194,233,1257,563,1820,294,23980,24274,0,37,0,0,37,0,10,1
2,2,True,True,39,194,233,1257,740,1997,294,23996,24290,0,37,0,0,37,0,10,1
3,3,False,True,39,194,233,1142,488,1630,484,23980,24464,0,39,0,0,39,0,10,1
3,3,True,True,39,194,233,1142,665,1807,484,23996,24480,0,39,0,0,39,0,10,1
4,4,False,True,39,194,233,1034,403,1437,677,23980,24657,0,39,0,0,39,0,10,1
4,4,True,True,39,194,233,1034,580,1614,677,23996,24673,0,39,0,0,39,0,10,1
5,5,False,True,39,194,233,919,333,1252,862,23980,24842,1,39,0,1,38,0,10,1
5,5,True,True,39,194,233,919,500,1419,872,23996,24868,0,39,0,0,39,0,10,2
6,6,False,True,39,194,233,820,293,1113,1001,23980,24981,2,39,0,2,37,0,10,1
6,6,True,True,39,194,233,820,450,1270,1021,23996,25017,0,39,0,0,39,0,10,2
7,7,False,True,39,194,233,725,261,986,1128,23980,25108,2,39,0,2,37,0,10,1
7,7,True,True,39,194,233,725,409,1134,1157,23996,25153,0,39,0,0,39,0,10,2
8,8,False,True,39,194,233,648,229,877,1237,23980,25217,2,39,0,2,37,0,10,1
8,8,True,True,39,194,233,648,372,1020,1271,23996,25267,0,39,0,0,39,0,10,2
9,9,False,True,39,194,233,562,192,754,1360,23980,25340,2,39,0,2,37,0,10,1
9,9,True,True,39,194,233,562,324,886,1405,23996,25401,0,39,0,0,39,0,10,2
10,10,False,True,39,194,233,475,144,619,1495,23980,25475,4,39,0,4,35,0,10,1
10,10,True,True,39,194,233,475,266,741,1550,23996,25546,0,39,0,0,39,0,10,2
inf,inf,False,True,39,194,233,0,0,0,2114,23980,26094,32,39,0,32,7,0,10,1
inf,inf,True,True,39,194,233,0,0,0,2291,23996,26287,0,39,0,0,39,0,10,3
