rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.223200,0.117244,0.066606,0.019316,0.000128,0.010908,0.008738,0.000223,-0.000007
1,1,False,True,0.221303,0.110489,0.065847,0.014601,0.000091,0.011091,0.017718,0.001421,-0.000013
2,2,False,True,0.232938,0.112506,0.065358,0.014953,0.000104,0.012940,0.024315,0.002682,-0.000047
3,3,False,True,0.225584,0.108936,0.064295,0.007293,0.000129,0.012638,0.028199,0.003920,-0.000137
4,4,False,True,0.235983,0.120129,0.066842,0.005662,0.000102,0.011477,0.026801,0.004791,-0.000147
5,5,False,True,0.226368,0.113790,0.062731,0.005008,0.000090,0.011205,0.028336,0.005024,-0.000146
6,6,False,True,0.228082,0.112468,0.063090,0.004864,0.000107,0.011553,0.029482,0.006260,-0.000204
7,7,False,True,0.239058,0.112938,0.065089,0.004523,0.000087,0.011571,0.036797,0.007797,-0.000219
8,8,False,True,0.225026,0.107989,0.061992,0.004323,0.000107,0.011080,0.032090,0.007225,-0.000184
9,9,False,True,0.236081,0.113313,0.061384,0.004301,0.000089,0.011443,0.037517,0.007814,-0.000187
10,10,False,True,0.236210,0.110817,0.068255,0.004571,0.000084,0.010877,0.033272,0.008111,-0.000189
inf,inf,False,True,0.238612,0.122605,0.059673,0.004009,0.000087,0.011426,0.029525,0.010946,-0.000308
