rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,1.200654,0.340851,0.792445,0.045314,0.000103,0.012508,0.009098,0.000291,-0.000012
1,1,False,True,1.271644,0.351589,0.795488,0.036336,0.000098,0.013040,0.070208,0.004638,-0.000212
2,2,False,True,1.307228,0.347678,0.797494,0.023817,0.000096,0.014016,0.113307,0.010276,-0.000508
3,3,False,True,1.327825,0.342460,0.790899,0.016326,0.000095,0.013133,0.146167,0.017830,-0.000878
4,4,False,True,1.313127,0.357748,0.777086,0.010957,0.000091,0.013236,0.128780,0.023809,-0.001383
5,5,False,True,1.313110,0.349156,0.781405,0.009526,0.000113,0.012525,0.127717,0.030718,-0.001913
6,6,False,True,1.289842,0.345467,0.774017,0.007865,0.000088,0.012689,0.112493,0.034872,-0.002313
7,7,False,True,1.297539,0.347900,0.764379,0.006866,0.000094,0.013646,0.120092,0.041794,-0.002728
8,8,False,True,1.287105,0.347701,0.762666,0.006188,0.000087,0.013553,0.105984,0.047695,-0.003196
9,9,False,True,1.272545,0.346440,0.754299,0.005698,0.000087,0.013095,0.098261,0.051049,-0.003579
10,10,False,True,1.295760,0.362404,0.755202,0.005571,0.000095,0.013979,0.095526,0.058636,-0.004307
inf,inf,False,True,1.263367,0.355733,0.727848,0.004111,0.000094,0.012757,0.072329,0.083050,-0.007408
