rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,442,947,161,76,85,558,9946,0,9388,0,558,76,0,0,0,0,0,16,0
1,1,False,True,442,929,161,76,85,536,9946,22,9388,0,536,76,9,0,0,9,0,16,7
2,2,False,True,442,890,161,76,85,493,9946,65,9388,0,493,76,35,0,0,35,0,16,15
3,3,False,True,442,812,161,76,85,408,9946,150,9388,0,408,76,57,0,0,57,0,16,26
4,4,False,True,442,776,161,76,85,361,9946,197,9388,0,361,76,61,0,0,61,0,16,34
5,5,False,True,442,746,161,76,85,327,9946,231,9388,0,327,76,66,0,0,66,0,16,41
6,6,False,True,442,713,161,76,85,290,9946,266,9388,2,290,76,68,0,2,66,0,16,50
7,7,False,True,442,673,161,76,85,248,9946,307,9388,3,248,76,69,0,3,66,0,16,56
8,8,False,True,442,642,161,76,85,211,9946,343,9388,4,211,76,72,0,4,68,0,16,61
9,9,False,True,442,609,161,76,85,176,9946,378,9388,4,176,76,74,0,4,70,0,16,67
10,10,False,True,442,578,161,76,85,145,9946,407,9388,6,145,76,74,0,6,68,0,16,74
inf,inf,False,True,442,437,161,76,85,0,9946,510,9388,48,0,76,76,0,48,28,0,16,91
