key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,841,841,841,841,841,841,841,841,841,841,841,841
num_edges,1137,1081,1071,1048,1032,1016,974,940,913,899,890,843
num_ops,222,222,222,222,222,222,222,222,222,222,222,222
num_read,170,170,170,170,170,170,170,170,170,170,170,170
num_writes,52,52,52,52,52,52,52,52,52,52,52,52
num_time_edges,294,238,228,205,189,173,161,140,113,99,90,0
num_races,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384
num_harmful,0,56,66,89,105,121,133,154,181,195,204,294
num_commute,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090
num_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_time_filtered_races,294,238,228,205,189,173,161,140,113,99,90,0
num_pkts,74,74,74,74,74,74,74,74,74,74,74,74
num_per_pkt_races,0,13,20,26,33,39,40,44,49,51,53,72
num_per_pkt_inconsistent,0,9,10,10,10,11,11,11,11,11,11,11
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,4,10,16,23,28,29,33,38,40,42,61
num_per_pkt_inconsistent_no_repeat,0,9,10,10,10,11,11,11,11,11,11,10
num_versions,25,25,25,25,25,25,25,25,25,25,25,25
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
