rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,841,1137,222,170,52,294,1384,0,1090,0,294,74,0,0,0,0,0,25,0
1,1,False,True,841,1109,222,170,52,238,1384,56,1090,0,238,74,13,9,0,4,9,25,0
2,2,False,True,841,1109,222,170,52,228,1384,66,1090,0,228,74,20,10,0,10,10,25,0
3,3,False,True,841,1091,222,170,52,205,1384,88,1090,1,205,74,26,10,0,16,10,25,0
4,4,False,True,841,1083,222,170,52,189,1384,97,1090,8,189,74,33,10,4,19,10,25,0
5,5,False,True,841,1077,222,170,52,173,1384,108,1090,13,173,74,39,11,9,19,11,25,0
6,6,False,True,841,1039,222,170,52,161,1384,116,1090,17,161,74,40,11,13,16,11,25,0
7,7,False,True,841,1009,222,170,52,140,1384,126,1090,28,140,74,44,11,16,17,11,25,0
8,8,False,True,841,992,222,170,52,113,1384,140,1090,41,113,74,49,11,23,15,11,25,0
9,9,False,True,841,983,222,170,52,99,1384,146,1090,49,99,74,51,11,24,16,11,25,0
10,10,False,True,841,976,222,170,52,90,1384,148,1090,56,90,74,53,11,27,15,11,25,0
inf,inf,False,True,841,948,222,170,52,0,1384,191,1090,103,0,74,72,11,59,2,10,25,0
