rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.520861,0.408649,0.089151,0.011104,0.001025,0.005903,0.004652,0.000355,0.000014
1,1,False,True,0.504608,0.402686,0.071714,0.009489,0.000951,0.005594,0.010805,0.003334,0.000027
2,2,False,True,0.494012,0.397723,0.064950,0.009207,0.000957,0.005538,0.011564,0.004035,0.000031
3,3,False,True,0.506781,0.405183,0.064728,0.009238,0.000971,0.005623,0.015220,0.005772,0.000038
4,4,False,True,0.519296,0.411103,0.068985,0.008900,0.000967,0.005650,0.017486,0.006155,0.000042
5,5,False,True,0.496001,0.389466,0.064471,0.008876,0.001026,0.005652,0.019406,0.007052,0.000044
6,6,False,True,0.510145,0.402995,0.064204,0.008345,0.000961,0.005526,0.020463,0.007598,0.000045
7,7,False,True,0.534169,0.406375,0.081309,0.008252,0.000982,0.005790,0.022570,0.008831,0.000052
8,8,False,True,0.526509,0.407992,0.068262,0.007869,0.000959,0.005656,0.025557,0.010148,0.000058
9,9,False,True,0.521273,0.402864,0.066577,0.007697,0.000944,0.005600,0.026837,0.010687,0.000060
10,10,False,True,0.543381,0.407794,0.080954,0.007945,0.000984,0.005847,0.028530,0.011256,0.000064
inf,inf,False,True,0.544594,0.404167,0.074098,0.007855,0.000991,0.005758,0.035884,0.015749,0.000083
