rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,303,444,90,84,6,164,246,0,82,0,164,42,0,0,0,0,0,13,0
1,1,False,True,303,444,90,84,6,156,246,8,82,0,156,42,5,5,0,0,4,13,0
2,2,False,True,303,442,90,84,6,148,246,14,82,2,148,42,9,8,1,0,4,13,0
3,3,False,True,303,440,90,84,6,144,246,18,82,2,144,42,10,10,0,0,5,13,0
4,4,False,True,303,435,90,84,6,139,246,18,82,7,139,42,10,10,0,0,7,13,0
5,5,False,True,303,430,90,84,6,126,246,26,82,12,126,42,14,14,0,0,6,13,0
6,6,False,True,303,424,90,84,6,113,246,33,82,18,113,42,18,17,0,1,6,13,0
7,7,False,True,303,424,90,84,6,110,246,36,82,18,110,42,19,19,0,0,6,13,0
8,8,False,True,303,418,90,84,6,98,246,40,82,26,98,42,22,21,1,0,6,13,0
9,9,False,True,303,412,90,84,6,90,246,42,82,32,90,42,23,22,1,0,6,13,0
10,10,False,True,303,408,90,84,6,83,246,43,82,38,83,42,25,22,2,1,6,13,0
inf,inf,False,True,303,360,90,84,6,0,246,66,82,98,0,42,42,34,8,0,4,13,0
