rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.105554,0.074257,0.014379,0.006489,0.000258,0.003755,0.006248,0.000151,0.000008
1,1,False,True,0.104385,0.073444,0.013822,0.006014,0.000243,0.003784,0.006517,0.000539,0.000013
2,2,False,True,0.104246,0.072734,0.013538,0.005444,0.000247,0.003777,0.007858,0.000625,0.000014
3,3,False,True,0.104557,0.072850,0.013669,0.005463,0.000242,0.003792,0.007892,0.000626,0.000014
4,4,False,True,0.103218,0.071776,0.013328,0.005157,0.000237,0.003660,0.008302,0.000733,0.000016
5,5,False,True,0.104007,0.072446,0.013268,0.005121,0.000237,0.003737,0.008396,0.000777,0.000016
6,6,False,True,0.103557,0.071910,0.013067,0.004974,0.000238,0.003721,0.008758,0.000862,0.000018
7,7,False,True,0.104368,0.072521,0.013044,0.004931,0.000244,0.003738,0.008922,0.000932,0.000027
8,8,False,True,0.106104,0.073166,0.012844,0.004757,0.000241,0.003912,0.010056,0.001096,0.000023
9,9,False,True,0.103931,0.071668,0.012611,0.004372,0.000235,0.003648,0.010178,0.001187,0.000023
10,10,False,True,0.105569,0.072719,0.012646,0.004357,0.000240,0.003763,0.010585,0.001227,0.000023
inf,inf,False,True,0.106351,0.072393,0.011787,0.003944,0.000241,0.003746,0.012375,0.001822,0.000033
