key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,757,757,757,757,757,757,757,757,757,757,757,757
num_edges,1058,1032,1027,1024,1013,1005,984,977,971,963,958,864
num_ops,191,191,191,191,191,191,191,191,191,191,191,191
num_read,165,165,165,165,165,165,165,165,165,165,165,165
num_writes,26,26,26,26,26,26,26,26,26,26,26,26
num_time_edges,297,248,232,227,212,194,173,152,142,131,114,0
num_races,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
num_harmful,0,49,64,69,78,87,108,128,137,146,159,192
num_commute,840,840,840,840,840,840,840,840,840,840,840,840
num_covered,0,0,1,1,7,16,16,17,18,20,24,105
num_time_filtered_races,297,248,232,227,212,194,173,152,142,131,114,0
num_pkts,58,58,58,58,58,58,58,58,58,58,58,58
num_per_pkt_races,0,17,21,23,25,31,34,39,40,42,49,57
num_per_pkt_inconsistent,0,13,17,18,21,24,24,30,32,33,38,41
num_per_pkt_inconsistent_covered,0,0,1,1,1,2,2,3,4,4,5,15
num_per_pkt_entry_version_race,0,4,3,4,3,5,8,6,4,5,6,1
num_per_pkt_inconsistent_no_repeat,0,13,15,15,19,21,22,23,23,23,23,25
num_versions,64,64,64,64,64,64,64,64,64,64,64,64
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
