key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,166,166,166,166,166,166,166,166,166,166,166,166
num_edges,211,209,209,206,205,204,204,203,201,199,196,171
num_ops,46,46,46,46,46,46,46,46,46,46,46,46
num_read,44,44,44,44,44,44,44,44,44,44,44,44
num_writes,2,2,2,2,2,2,2,2,2,2,2,2
num_time_edges,81,72,71,68,66,65,61,60,54,48,44,0
num_races,81,81,81,81,81,81,81,81,81,81,81,81
num_harmful,0,9,10,13,14,14,18,18,22,26,27,46
num_commute,0,0,0,0,0,0,0,0,0,0,0,0
num_covered,0,0,0,0,1,2,2,3,5,7,10,35
num_time_filtered_races,81,72,71,68,66,65,61,60,54,48,44,0
num_pkts,44,44,44,44,44,44,44,44,44,44,44,44
num_per_pkt_races,0,9,10,11,12,12,16,16,20,24,25,44
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,1,2,2,3,5,7,10,35
num_per_pkt_entry_version_race,0,9,10,11,11,10,14,13,15,17,15,9
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,5,5,5,5,5,5,5,5,5,5,5,5
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
