rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,234,300,55,49,6,93,289,0,196,0,93,49,0,0,0,0,0,12,0
1,1,False,True,234,288,55,49,6,78,289,15,196,0,78,49,12,0,0,12,0,12,0
2,2,False,True,234,288,55,49,6,77,289,16,196,0,77,49,13,0,0,13,0,12,0
3,3,False,True,234,284,55,49,6,69,289,24,196,0,69,49,18,0,0,18,0,12,0
4,4,False,True,234,282,55,49,6,64,289,27,196,2,64,49,21,0,2,19,0,12,0
5,5,False,True,234,279,55,49,6,59,289,29,196,5,59,49,23,0,5,18,0,12,0
6,6,False,True,234,274,55,49,6,55,289,29,196,9,55,49,23,0,9,14,0,12,0
7,7,False,True,234,271,55,49,6,51,289,32,196,10,51,49,26,0,10,16,0,12,0
8,8,False,True,234,269,55,49,6,47,289,34,196,12,47,49,28,0,12,16,0,12,0
9,9,False,True,234,268,55,49,6,44,289,36,196,13,44,49,30,0,13,17,0,12,0
10,10,False,True,234,265,55,49,6,39,289,38,196,16,39,49,32,0,16,16,0,12,0
inf,inf,False,True,234,246,55,49,6,0,289,55,196,38,0,49,49,0,38,11,0,12,0
