rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.105670,0.069844,0.009443,0.005784,0.000103,0.014746,0.005468,0.000238,-0.000009
1,1,False,True,0.116791,0.078881,0.009697,0.003464,0.000093,0.012429,0.010919,0.001248,-0.000013
2,2,False,True,0.107897,0.073415,0.007709,0.003363,0.000084,0.012540,0.009766,0.000970,-0.000010
3,3,False,True,0.116480,0.076065,0.012005,0.004418,0.000120,0.014553,0.008241,0.001029,-0.000014
4,4,False,True,0.104313,0.071303,0.007342,0.003305,0.000081,0.012829,0.008212,0.001193,-0.000011
5,5,False,True,0.105585,0.069045,0.007889,0.003225,0.000083,0.012648,0.011396,0.001246,-0.000013
6,6,False,True,0.112634,0.070169,0.010119,0.003442,0.000078,0.016316,0.011101,0.001293,-0.000052
7,7,False,True,0.111632,0.072807,0.007403,0.005522,0.000117,0.013987,0.010316,0.001429,-0.000013
8,8,False,True,0.117792,0.076048,0.009337,0.003221,0.000081,0.013783,0.012632,0.002617,-0.000022
9,9,False,True,0.106620,0.066875,0.007157,0.003111,0.000075,0.013624,0.013849,0.001854,-0.000032
10,10,False,True,0.116137,0.077787,0.007981,0.003276,0.000123,0.012521,0.012159,0.002227,-0.000026
inf,inf,False,True,0.121702,0.072372,0.008374,0.003588,0.000109,0.011608,0.020115,0.005468,-0.000030
