key/t,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,333,333,333,333,333,333,333,333,333
num_writes,46,46,46,46,46,46,46,46,46
num_ops,379,379,379,379,379,379,379,379,379
num_rw_time_edges,607,573,540,513,487,456,434,406,0
num_ww_time_edges,37,24,21,18,15,15,15,15,0
num_time_edges,644,597,561,531,502,471,449,421,0
num_harmful,93,140,176,206,235,266,288,316,737
num_commute,4699,4699,4699,4699,4699,4699,4699,4699,4699
num_races,4792,4839,4875,4905,4934,4965,4987,5015,5436
num_covered,0,0,1,4,4,6,6,6,7
num_per_pkt_races,37,46,54,60,63,69,75,81,149
num_per_pkt_inconsistent,26,33,43,48,52,58,60,64,145
num_per_pkt_inconsistent_covered,0,0,1,2,2,3,3,2,0
num_per_pkt_entry_version_race,11,13,10,10,9,8,12,15,4
num_per_pkt_inconsistent_no_repeat,25,28,33,35,36,36,36,35,30
