rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,515,686,121,93,28,146,935,0,789,0,146,37,0,0,0,0,0,38,0
1,1,False,True,515,677,121,93,28,115,935,31,789,0,115,37,12,10,0,2,10,38,0
2,2,False,True,515,677,121,93,28,110,935,34,789,2,110,37,13,10,1,2,9,38,0
3,3,False,True,515,677,121,93,28,102,935,42,789,2,102,37,16,13,1,2,12,38,0
4,4,False,True,515,677,121,93,28,95,935,49,789,2,95,37,22,13,1,8,12,38,0
5,5,False,True,515,677,121,93,28,84,935,58,789,4,84,37,27,15,2,10,13,38,0
6,6,False,True,515,677,121,93,28,84,935,58,789,4,84,37,27,15,2,10,13,38,0
7,7,False,True,515,669,121,93,28,83,935,59,789,4,83,37,28,15,2,11,13,38,0
8,8,False,True,515,661,121,93,28,80,935,62,789,4,80,37,31,15,2,14,13,38,0
9,9,False,True,515,656,121,93,28,77,935,65,789,4,77,37,31,15,2,14,13,38,0
10,10,False,True,515,656,121,93,28,77,935,65,789,4,77,37,31,15,2,14,13,38,0
inf,inf,False,True,515,597,121,93,28,0,935,85,789,61,0,37,34,18,15,1,16,38,0
