key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588
num_writes,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
num_ops,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885
num_rw_time_edges,0,447,505,576,643,713,773,862,933,398,1017,1340,0,439,497,565,632,699,756,840,902,390,986,1309
num_ww_time_edges,0,141,161,176,188,206,224,261,287,127,290,290,0,0,0,0,0,0,0,0,0,0,0,0
num_time_edges,0,588,666,752,831,919,997,1123,1220,525,1307,1630,0,439,497,565,632,699,756,840,902,390,986,1309
num_harmful,1630,1042,964,878,799,711,633,507,410,1105,323,0,1309,870,812,744,677,610,553,469,407,919,323,0
num_commute,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474,30474
num_races,32104,31516,31438,31352,31273,31185,31107,30981,30884,31579,30797,30474,31783,31344,31286,31218,31151,31084,31027,30943,30881,31393,30797,30474
num_covered,0,0,0,0,0,0,0,0,0,0,0,0,490,205,182,159,123,89,52,14,1,234,0,0
num_per_pkt_races,157,151,149,145,141,135,130,123,116,153,99,0,157,151,149,145,141,135,130,123,116,153,99,0
num_per_pkt_inconsistent,156,114,109,96,91,78,70,58,35,119,18,0,132,99,93,82,77,65,60,51,35,103,18,0
num_per_pkt_inconsistent_covered,1,37,40,49,50,57,60,65,81,34,81,0,25,52,56,63,64,70,70,72,81,50,81,0
num_per_pkt_race_version,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_no_repeat,118,88,86,76,73,61,55,47,26,91,14,0,104,83,78,69,66,55,50,41,26,84,14,0
