key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
num_edges,2698,2662,2662,2662,2660,2657,2526,2510,2503,2497,2469,2376
num_ops,526,526,526,526,526,526,526,526,526,526,526,526
num_read,323,323,323,323,323,323,323,323,323,323,323,323
num_writes,203,203,203,203,203,203,203,203,203,203,203,203
num_time_edges,527,351,317,307,290,281,271,269,267,267,266,0
num_races,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293,12293
num_harmful,0,176,209,214,229,238,248,250,252,252,253,329
num_commute,11766,11766,11766,11766,11766,11766,11766,11766,11766,11766,11766,11766
num_covered,0,0,1,6,8,8,8,8,8,8,8,198
num_time_filtered_races,527,351,317,307,290,281,271,269,267,267,266,0
num_pkts,76,76,76,76,76,76,76,76,76,76,76,76
num_per_pkt_races,0,47,57,59,62,63,65,65,65,65,66,71
num_per_pkt_inconsistent,0,46,52,53,55,56,56,56,56,56,56,56
num_per_pkt_inconsistent_covered,0,0,1,2,3,3,3,3,3,3,3,5
num_per_pkt_entry_version_race,0,1,4,4,4,4,6,6,6,6,7,10
num_per_pkt_inconsistent_no_repeat,0,46,52,53,55,56,56,56,56,56,56,56
num_versions,71,71,71,71,71,71,71,71,71,71,71,71
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
