rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
0,0,True,True,1138,807,1945,3692,800,4492,0,180146,180146,0,0,0,0,0,0
0,0,False,True,1138,807,1945,3549,0,3549,0,180146,180146,0,0,0,0,0,0
1,1,True,True,1138,807,1945,3236,800,4036,456,180146,180602,0,190,179,0,11,179
1,1,False,True,1138,807,1945,3093,0,3093,456,180146,180602,0,190,179,0,11,179
2,2,False,True,1138,807,1945,2865,0,2865,684,180146,180830,0,213,196,0,17,196
2,2,True,True,1138,807,1945,3008,800,3808,684,180146,180830,0,213,196,0,17,196
3,3,False,True,1138,807,1945,2743,0,2743,806,180146,180952,3,233,210,0,23,206
3,3,True,True,1138,807,1945,2882,790,3672,820,180146,180966,0,234,210,0,24,206
4,4,True,True,1138,807,1945,2781,768,3549,943,180146,181089,0,250,227,0,23,221
4,4,False,True,1138,807,1945,2649,0,2649,900,180146,181046,11,248,227,0,21,221
5,5,False,True,1138,807,1945,2581,0,2581,968,180146,181114,34,256,233,5,18,224
5,5,True,True,1138,807,1945,2711,746,3457,1035,180146,181181,4,259,233,3,23,225
6,6,False,True,1138,807,1945,2534,0,2534,1015,180146,181161,55,261,236,6,19,226
6,6,True,True,1138,807,1945,2658,726,3384,1108,180146,181254,15,264,236,4,24,226
7,7,True,True,1138,807,1945,2563,717,3280,1212,180146,181358,30,269,236,5,28,225
7,7,False,True,1138,807,1945,2449,0,2449,1100,180146,181246,96,266,236,9,21,226
8,8,True,True,1138,807,1945,2510,696,3206,1286,180146,181432,39,269,237,5,27,227
8,8,False,True,1138,807,1945,2401,0,2401,1148,180146,181294,118,266,237,9,20,227
9,9,False,True,1138,807,1945,2329,0,2329,1220,180146,181366,145,269,239,9,21,229
9,9,True,True,1138,807,1945,2431,679,3110,1382,180146,181528,57,272,239,5,28,229
10,10,False,True,1138,807,1945,2243,0,2243,1306,180146,181452,176,272,239,9,24,228
10,10,True,True,1138,807,1945,2333,668,3001,1491,180146,181637,64,274,239,5,30,228
inf,inf,False,True,1138,807,1945,0,0,0,3549,180146,183695,939,296,242,18,36,231
inf,inf,True,True,1138,807,1945,0,0,0,4492,180146,184638,75,300,244,0,56,226
