rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,42.342468,28.300116,13.256727,0.376808,0.020610,0.126151,0.256908,0.004939,-0.000173
0,0,True,True,42.544486,28.661911,12.936230,0.466124,0.023597,0.137159,0.313590,0.005649,-0.000188
1,1,False,True,45.254001,27.945067,14.981235,0.377299,0.019617,0.152526,1.345947,0.431973,-0.000298
1,1,True,True,46.545506,29.116153,14.325459,0.417789,0.023582,0.742704,1.438828,0.480652,-0.000300
2,2,True,True,44.455383,28.558092,12.670851,0.399389,0.021201,0.651345,1.542810,0.611318,-0.000340
2,2,False,True,43.651132,27.950931,13.015375,0.367848,0.021288,0.131154,1.566475,0.597684,-0.000334
3,3,False,True,49.288876,27.795731,16.526281,0.590914,0.035322,0.189945,3.025912,1.124074,-0.000617
3,3,True,True,44.248852,28.449471,12.710149,0.353167,0.020525,0.120686,1.826501,0.764844,-0.003468
4,4,True,True,44.820290,29.011311,12.494821,0.343026,0.019569,0.131778,1.999278,0.810342,-0.010125
4,4,False,True,48.686149,30.139576,15.319844,0.352238,0.022280,0.142879,1.910614,0.798305,-0.000369
5,5,False,True,44.707615,28.139526,13.167400,0.338136,0.020935,0.123647,2.086053,0.831473,-0.000404
5,5,True,True,46.449443,29.918048,12.972985,0.344839,0.021197,0.131867,2.176500,0.868337,-0.015618
6,6,False,True,49.200433,31.853705,13.898467,0.344366,0.020359,0.131940,2.102864,0.848291,-0.000398
6,6,True,True,46.157081,29.963133,12.597533,0.332067,0.020574,0.119769,2.247584,0.855376,-0.020996
7,7,False,True,44.373531,27.899706,12.865214,0.310241,0.019368,0.125909,2.233601,0.919034,-0.000420
7,7,True,True,45.828667,28.969412,12.993045,0.330866,0.020613,0.119323,2.412045,0.958300,-0.025010
8,8,True,True,44.517580,27.548900,12.975866,0.311483,0.019661,0.125737,2.557370,0.950968,-0.027545
8,8,False,True,45.147945,27.522543,13.914849,0.324427,0.022219,0.136252,2.307764,0.919422,-0.000424
9,9,False,True,44.792917,28.241902,12.837365,0.306044,0.020039,0.125711,2.325570,0.935819,-0.000428
9,9,True,True,45.038743,27.717532,12.596854,0.314715,0.020225,0.136495,3.016388,1.201020,-0.035464
10,10,True,True,45.113250,27.922576,12.716910,0.296868,0.020938,0.122663,2.961782,1.035947,-0.035513
10,10,False,True,46.268486,28.855666,13.208509,0.517912,0.039304,0.173671,2.411798,1.061092,-0.000477
inf,inf,False,True,49.113429,28.274215,13.350398,0.191553,0.018717,0.125451,5.058517,2.093653,-0.000826
inf,inf,True,True,53.444724,29.576029,12.877421,0.206969,0.020506,0.128361,7.839393,2.555689,-0.240356
