rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,28.990058,19.138629,9.312105,0.261992,0.015833,0.045042,0.213290,0.003033,-0.000092
1,1,False,True,29.852876,19.193927,9.425349,0.262527,0.015042,0.038269,0.669072,0.248421,-0.000229
2,2,False,True,30.199664,19.203005,9.382027,0.254639,0.016237,0.041798,0.929797,0.371836,-0.000285
3,3,False,True,30.224255,19.047017,9.297015,0.241576,0.014524,0.037846,1.109868,0.476036,-0.000328
4,4,False,True,30.504948,19.270681,9.298337,0.237498,0.015496,0.037585,1.142786,0.502172,-0.000353
5,5,False,True,30.788948,19.421649,9.330501,0.241123,0.014130,0.039400,1.210877,0.530861,-0.000367
6,6,False,True,30.646611,19.487957,9.116104,0.227862,0.013622,0.037996,1.210934,0.551707,-0.000389
7,7,False,True,30.438447,19.315466,8.986877,0.226819,0.014031,0.038300,1.258974,0.597477,-0.000461
8,8,False,True,30.255623,19.160459,8.931013,0.220711,0.013578,0.039898,1.285844,0.603663,-0.000416
9,9,False,True,30.289397,19.113637,8.926351,0.214596,0.014059,0.044195,1.333542,0.642533,-0.000437
10,10,False,True,30.574708,19.314264,8.936132,0.212409,0.013499,0.037986,1.387717,0.672200,-0.000460
inf,inf,False,True,32.805006,19.394730,8.979646,0.135735,0.013887,0.044931,2.652681,1.582181,-0.001174
