rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,508,767,158,152,6,299,451,0,152,0,299,76,0,0,0,0,0,13,0
1,1,False,True,508,765,158,152,6,293,451,6,152,0,293,76,4,4,0,0,4,13,0
2,2,False,True,508,763,158,152,6,287,451,12,152,0,287,76,6,6,0,0,5,13,0
3,3,False,True,508,761,158,152,6,275,451,23,152,1,275,76,11,11,0,0,5,13,0
4,4,False,True,508,760,158,152,6,267,451,30,152,2,267,76,15,14,0,1,6,13,0
5,5,False,True,508,751,158,152,6,247,451,41,152,11,247,76,20,20,0,0,7,13,0
6,6,False,True,508,744,158,152,6,240,451,41,152,18,240,76,20,20,0,0,7,13,0
7,7,False,True,508,732,158,152,6,220,451,49,152,30,220,76,25,23,0,2,7,13,0
8,8,False,True,508,728,158,152,6,200,451,65,152,34,200,76,33,31,0,2,7,13,0
9,9,False,True,508,725,158,152,6,186,451,76,152,37,186,76,38,37,0,1,8,13,0
10,10,False,True,508,714,158,152,6,162,451,89,152,48,162,76,44,44,0,0,7,13,0
inf,inf,False,True,508,616,158,152,6,0,451,153,152,146,0,76,76,76,0,0,5,13,0
