rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.076316,0.054496,0.010032,0.004753,0.000219,0.003694,0.002998,0.000107,0.000008
1,1,False,True,0.076945,0.054708,0.009944,0.004406,0.000228,0.003620,0.003626,0.000392,0.000012
2,2,False,True,0.078269,0.055653,0.009856,0.004462,0.000230,0.003722,0.003886,0.000437,0.000014
3,3,False,True,0.078755,0.055692,0.009858,0.004335,0.000227,0.003743,0.004336,0.000540,0.000015
4,4,False,True,0.077809,0.055026,0.009688,0.004311,0.000222,0.003729,0.004294,0.000515,0.000015
5,5,False,True,0.078262,0.055403,0.009870,0.004274,0.000221,0.003639,0.004310,0.000521,0.000015
6,6,False,True,0.078745,0.055741,0.009607,0.004223,0.000222,0.003743,0.004585,0.000600,0.000015
7,7,False,True,0.078892,0.055816,0.009562,0.004267,0.000221,0.003809,0.004610,0.000582,0.000017
8,8,False,True,0.079302,0.056053,0.009398,0.003955,0.000223,0.003742,0.005184,0.000720,0.000019
9,9,False,True,0.078281,0.055317,0.009153,0.003854,0.000214,0.003743,0.005250,0.000723,0.000018
10,10,False,True,0.077297,0.054430,0.009137,0.003828,0.000216,0.003664,0.005260,0.000734,0.000019
inf,inf,False,True,0.079369,0.055168,0.008801,0.003923,0.000218,0.003799,0.006456,0.000968,0.000027
