rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.426717,0.235044,0.044440,0.037819,0.000232,0.011169,0.097530,0.000443,-0.000007
1,1,False,True,0.435622,0.236290,0.043768,0.017967,0.000233,0.029909,0.106323,0.001086,-0.000010
2,2,False,True,0.439257,0.237570,0.043626,0.018176,0.000236,0.027974,0.110060,0.001568,-0.000011
3,3,False,True,0.452970,0.243979,0.043332,0.017530,0.000233,0.027919,0.117823,0.002106,-0.000014
4,4,False,True,0.441954,0.239038,0.043281,0.017230,0.000226,0.027903,0.111419,0.002806,-0.000017
5,5,False,True,0.444803,0.236771,0.042642,0.016459,0.000227,0.027649,0.117038,0.003957,-0.000022
6,6,False,True,0.450506,0.239858,0.042619,0.016900,0.000238,0.028362,0.118104,0.004367,-0.000023
7,7,False,True,0.435642,0.239910,0.041907,0.016276,0.000223,0.011839,0.120438,0.004987,-0.000028
8,8,False,True,0.444710,0.238239,0.041292,0.015106,0.000216,0.011045,0.131877,0.006869,-0.000034
9,9,False,True,0.443724,0.238153,0.040727,0.014757,0.000215,0.011098,0.130879,0.007823,-0.000038
10,10,False,True,0.447053,0.238331,0.039770,0.014423,0.000216,0.011182,0.133531,0.009524,-0.000045
inf,inf,False,True,0.470592,0.238483,0.034987,0.011031,0.000205,0.010998,0.155069,0.019701,-0.000084
