key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,288,288,288,288,288,288,288,288,288,288,288,288
num_edges,417,409,405,398,394,389,386,380,374,368,365,322
num_ops,68,68,68,68,68,68,68,68,68,68,68,68
num_read,64,64,64,64,64,64,64,64,64,64,64,64
num_writes,4,4,4,4,4,4,4,4,4,4,4,4
num_time_edges,154,139,131,123,117,107,98,90,83,75,67,0
num_races,251,251,251,251,251,251,251,251,251,251,251,251
num_harmful,0,14,22,25,28,36,43,47,49,52,59,95
num_commute,97,97,97,97,97,97,97,97,97,97,97,97
num_covered,0,1,1,6,9,11,13,17,22,27,28,59
num_time_filtered_races,154,139,131,123,117,107,98,90,83,75,67,0
num_pkts,64,64,64,64,64,64,64,64,64,64,64,64
num_per_pkt_races,0,11,15,16,18,23,29,31,32,34,39,63
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,1,1,6,9,11,13,17,22,27,28,59
num_per_pkt_entry_version_race,0,10,14,10,9,12,16,14,10,7,11,4
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,6,6,6,6,6,6,6,6,6,6,6,6
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
