rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,288,417,68,64,4,154,251,0,97,0,154,64,0,0,0,0,0,6,0
1,1,False,True,288,409,68,64,4,139,251,14,97,1,139,64,11,0,1,10,0,6,0
2,2,False,True,288,405,68,64,4,131,251,22,97,1,131,64,15,0,1,14,0,6,0
3,3,False,True,288,398,68,64,4,123,251,25,97,6,123,64,16,0,6,10,0,6,0
4,4,False,True,288,394,68,64,4,117,251,28,97,9,117,64,18,0,9,9,0,6,0
5,5,False,True,288,389,68,64,4,107,251,36,97,11,107,64,23,0,11,12,0,6,0
6,6,False,True,288,386,68,64,4,98,251,43,97,13,98,64,29,0,13,16,0,6,0
7,7,False,True,288,380,68,64,4,90,251,47,97,17,90,64,31,0,17,14,0,6,0
8,8,False,True,288,374,68,64,4,83,251,49,97,22,83,64,32,0,22,10,0,6,0
9,9,False,True,288,368,68,64,4,75,251,52,97,27,75,64,34,0,27,7,0,6,0
10,10,False,True,288,365,68,64,4,67,251,59,97,28,67,64,39,0,28,11,0,6,0
inf,inf,False,True,288,322,68,64,4,0,251,95,97,59,0,64,63,0,59,4,0,6,0
