rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.037735,0.026339,0.004167,0.002764,0.000120,0.003482,0.000750,0.000097,0.000007
1,1,False,True,0.036771,0.025680,0.003887,0.002131,0.000114,0.003511,0.001048,0.000381,0.000010
2,2,False,True,0.037318,0.025901,0.003839,0.002058,0.000113,0.003483,0.001448,0.000456,0.000011
3,3,False,True,0.036710,0.025298,0.003824,0.002065,0.000113,0.003482,0.001439,0.000469,0.000011
4,4,False,True,0.036775,0.025398,0.003829,0.002062,0.000112,0.003458,0.001435,0.000461,0.000011
5,5,False,True,0.037309,0.025753,0.003844,0.002090,0.000115,0.003516,0.001503,0.000468,0.000011
6,6,False,True,0.036410,0.025292,0.003737,0.002026,0.000111,0.003399,0.001271,0.000552,0.000012
7,7,False,True,0.036786,0.025575,0.003752,0.002055,0.000111,0.003456,0.001258,0.000558,0.000012
8,8,False,True,0.036293,0.025253,0.003701,0.001917,0.000111,0.003415,0.001292,0.000583,0.000012
9,9,False,True,0.036911,0.025682,0.003760,0.001977,0.000114,0.003466,0.001306,0.000585,0.000012
10,10,False,True,0.036832,0.025592,0.003769,0.001945,0.000115,0.003471,0.001321,0.000597,0.000013
inf,inf,False,True,0.036650,0.025246,0.003592,0.001924,0.000111,0.003442,0.001532,0.000777,0.000017
