rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.181543,0.103274,0.022535,0.015446,0.000144,0.010828,0.028972,0.000306,-0.000005
1,1,False,True,0.192736,0.104582,0.021917,0.011975,0.000163,0.010957,0.041492,0.001605,-0.000011
2,2,False,True,0.192581,0.103932,0.021070,0.011282,0.000144,0.011526,0.042595,0.001988,-0.000014
3,3,False,True,0.197094,0.104913,0.021220,0.011693,0.000138,0.011042,0.045511,0.002528,-0.000015
4,4,False,True,0.197549,0.102797,0.020842,0.010930,0.000147,0.011601,0.048168,0.003014,-0.000018
5,5,False,True,0.200279,0.103183,0.020492,0.010487,0.000139,0.010868,0.051822,0.003238,-0.000019
6,6,False,True,0.205505,0.103368,0.020193,0.009881,0.000134,0.010574,0.057470,0.003833,-0.000021
7,7,False,True,0.205063,0.103879,0.020176,0.009548,0.000134,0.010402,0.056129,0.004739,-0.000023
8,8,False,True,0.204882,0.104280,0.020011,0.009360,0.000140,0.010585,0.055595,0.004855,-0.000025
9,9,False,True,0.208476,0.104876,0.019728,0.009630,0.000143,0.010621,0.058352,0.005065,-0.000030
10,10,False,True,0.212283,0.104372,0.019319,0.008889,0.000138,0.011473,0.061832,0.006195,-0.000032
inf,inf,False,True,0.203428,0.103760,0.017641,0.006670,0.000143,0.011007,0.054833,0.009294,-0.000046
