rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
0,0,True,True,147,18,165,299,17,316,0,2457,2457,0,0,0,0,0,0
0,0,False,True,147,18,165,288,0,288,0,2457,2457,0,0,0,0,0,0
1,1,True,True,147,18,165,283,17,300,16,2457,2473,0,16,0,0,16,0
1,1,False,True,147,18,165,272,0,272,16,2457,2473,0,16,0,0,16,0
2,2,False,True,147,18,165,255,0,255,33,2457,2490,1,31,0,1,30,0
2,2,True,True,147,18,165,266,16,282,34,2457,2491,0,31,0,0,31,0
3,3,False,True,147,18,165,243,0,243,45,2457,2502,5,39,0,5,34,0
3,3,True,True,147,18,165,248,9,257,59,2457,2516,0,44,0,0,44,0
4,4,True,True,147,18,165,231,8,239,77,2457,2534,0,50,0,0,50,0
4,4,False,True,147,18,165,226,0,226,62,2457,2519,15,45,0,15,30,0
5,5,False,True,147,18,165,218,0,218,70,2457,2527,16,51,0,16,35,0
5,5,True,True,147,18,165,222,6,228,88,2457,2545,0,57,0,0,57,0
6,6,False,True,147,18,165,200,0,200,88,2457,2545,24,60,0,24,36,0
6,6,True,True,147,18,165,204,6,210,106,2457,2563,0,66,0,0,66,0
7,7,True,True,147,18,165,191,5,196,120,2457,2577,0,71,0,0,71,0
7,7,False,True,147,18,165,188,0,188,100,2457,2557,28,66,0,28,38,0
8,8,True,True,147,18,165,178,5,183,133,2457,2590,0,79,0,0,79,0
8,8,False,True,147,18,165,175,0,175,113,2457,2570,32,74,0,32,42,0
9,9,False,True,147,18,165,162,0,162,126,2457,2583,36,82,0,36,46,0
9,9,True,True,147,18,165,165,4,169,147,2457,2604,0,87,0,0,87,0
10,10,False,True,147,18,165,147,0,147,141,2457,2598,45,88,0,45,43,0
10,10,True,True,147,18,165,149,3,152,164,2457,2621,0,94,0,0,94,0
inf,inf,False,True,147,18,165,0,0,0,288,2457,2745,126,142,0,126,16,0
inf,inf,True,True,147,18,165,0,0,0,316,2457,2773,0,147,0,0,147,0
