key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288
num_writes,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
num_ops,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421
num_rw_time_edges,0,381,417,443,483,513,536,569,621,352,645,810,0,337,370,395,434,464,486,516,546,310,570,735
num_ww_time_edges,0,82,87,91,92,98,103,109,132,79,132,132,0,0,0,0,0,0,0,0,0,0,0,0
num_time_edges,0,463,504,534,575,611,639,678,753,431,777,942,0,337,370,395,434,464,486,516,546,310,570,735
num_harmful,942,479,438,408,367,331,303,264,189,511,165,0,735,398,365,340,301,271,249,219,189,425,165,0
num_commute,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140,46140
num_races,47082,46619,46578,46548,46507,46471,46443,46404,46329,46651,46305,46140,46875,46538,46505,46480,46441,46411,46389,46359,46329,46565,46305,46140
num_covered,0,0,0,0,0,0,0,0,0,0,0,0,155,45,37,31,20,9,4,0,0,50,0,0
num_per_pkt_races,288,276,275,268,255,245,229,207,180,278,157,0,288,276,275,268,255,245,229,207,180,278,157,0
num_per_pkt_inconsistent,287,131,106,90,67,50,43,32,9,147,8,0,184,68,47,37,24,16,15,11,9,83,8,0
num_per_pkt_inconsistent_covered,1,145,169,178,188,195,186,175,171,131,149,0,104,208,228,231,231,229,214,196,171,195,149,0
num_per_pkt_race_version,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_no_repeat,162,78,66,57,47,37,34,28,5,88,4,0,134,51,38,30,20,12,11,8,5,60,4,0
