rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
0,0,True,True,406,59,465,1086,68,1154,0,7475,7475,0,0,0,0,0,0
0,0,False,True,406,59,465,1050,22,1072,0,7475,7475,0,0,0,0,0,0
1,1,True,True,406,59,465,1015,68,1083,71,7475,7546,0,29,14,0,15,14
1,1,False,True,406,59,465,979,22,1001,71,7475,7546,0,29,14,0,15,14
2,2,False,True,406,59,465,938,16,954,118,7475,7593,0,42,20,0,22,16
2,2,True,True,406,59,465,974,62,1036,118,7475,7593,0,42,20,0,22,16
3,3,False,True,406,59,465,882,10,892,180,7475,7655,0,59,33,0,26,19
3,3,True,True,406,59,465,910,46,956,198,7475,7673,0,61,33,0,28,21
4,4,True,True,406,59,465,870,36,906,248,7475,7723,0,72,37,0,35,20
4,4,False,True,406,59,465,842,10,852,220,7475,7695,2,70,37,2,31,18
5,5,False,True,406,59,465,780,10,790,282,7475,7757,18,88,43,2,43,25
5,5,True,True,406,59,465,802,28,830,324,7475,7799,0,90,43,0,47,23
6,6,False,True,406,59,465,725,10,735,337,7475,7812,34,97,50,4,43,26
6,6,True,True,406,59,465,744,28,772,382,7475,7857,0,99,50,0,49,25
7,7,True,True,406,59,465,701,20,721,433,7475,7908,0,114,58,0,56,26
7,7,False,True,406,59,465,684,8,692,380,7475,7855,40,112,58,7,47,25
8,8,True,True,406,59,465,656,20,676,478,7475,7953,0,119,64,0,55,27
8,8,False,True,406,59,465,640,8,648,424,7475,7899,60,118,64,8,46,28
9,9,False,True,406,59,465,585,8,593,479,7475,7954,74,123,70,8,45,30
9,9,True,True,406,59,465,601,20,621,533,7477,8010,0,124,70,0,54,27
10,10,False,True,406,59,465,555,8,563,509,7475,7984,82,126,71,10,45,32
10,10,True,True,406,59,465,570,16,586,568,7477,8045,0,127,71,0,56,30
inf,inf,False,True,406,59,465,0,0,0,1072,7475,8547,343,178,115,56,7,27
inf,inf,True,True,406,59,465,0,0,0,1154,7475,8629,0,178,115,0,63,20
