key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646
num_writes,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693
num_ops,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339
num_rw_time_edges,1898,1513,1380,1264,1146,1030,924,825,721,636,580,0,2174,1789,1656,1523,1370,1224,1098,993,884,799,738,0
num_ww_time_edges,598,590,559,517,497,480,340,279,215,181,165,0,1018,1010,979,905,839,784,612,537,471,433,413,0
num_time_edges,2496,2103,1939,1781,1643,1510,1264,1104,936,817,745,0,3192,2799,2635,2428,2209,2008,1710,1530,1355,1232,1151,0
num_harmful,0,393,557,715,853,986,1232,1392,1560,1679,1751,2496,0,393,557,764,983,1184,1482,1662,1837,1960,2041,3192
num_commute,98187,98187,98187,98187,98187,98187,98187,98187,98187,98187,98187,98187,98453,98453,98453,98453,98453,98453,98453,98453,98453,98453,98453,98453
num_races,98187,98580,98744,98902,99040,99173,99419,99579,99747,99866,99938,100683,98453,98846,99010,99217,99436,99637,99935,100115,100290,100413,100494,101645
num_covered,0,0,0,0,4,10,14,31,54,69,80,202,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,133,149,160,171,179,185,186,186,186,186,187,0,133,149,160,171,179,185,186,186,186,186,188
num_per_pkt_inconsistent,0,91,110,126,135,144,154,160,163,166,167,185,0,91,110,131,142,153,162,167,171,172,172,186
num_per_pkt_inconsistent_covered,0,34,33,31,30,32,30,26,23,20,19,2,0,34,33,26,23,23,22,19,15,14,14,2
num_per_pkt_race_version,0,8,6,3,6,3,1,0,0,0,0,0,0,8,6,3,6,3,1,0,0,0,0,0
num_per_pkt_inconsistent_no_repeat,0,81,92,108,116,120,125,138,149,145,145,159,0,81,92,114,126,129,133,141,148,145,143,147
