key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,9320,9320,9320,9320,9320,9320,9320,9320,9320,9320,9320,9320
num_edges,17761,17661,17565,17429,17293,17117,16481,16102,15859,15699,15547,12977
num_ops,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155
num_read,904,904,904,904,904,904,904,904,904,904,904,904
num_writes,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
num_time_edges,5038,4881,4737,4569,4401,4241,3994,3703,3523,3389,3255,0
num_races,275242,275246,275246,275250,275252,275257,276365,276534,276673,276735,276782,275246
num_harmful,0,158,302,467,633,791,1101,1387,1557,1691,1815,4776
num_commute,270204,270207,270207,270211,270213,270217,271258,271422,271556,271611,271654,270207
num_covered,0,0,0,3,5,8,12,22,37,44,58,263
num_time_filtered_races,5038,4881,4737,4569,4401,4241,3994,3703,3523,3389,3255,0
num_pkts,223,223,223,223,223,223,223,223,223,223,223,223
num_per_pkt_races,0,81,119,141,152,164,170,174,180,185,189,223
num_per_pkt_inconsistent,0,33,72,100,111,124,127,129,131,134,139,178
num_per_pkt_inconsistent_covered,0,0,0,0,1,1,1,2,8,9,8,11
num_per_pkt_entry_version_race,0,48,47,41,40,39,42,43,41,42,42,34
num_per_pkt_inconsistent_no_repeat,0,32,72,99,111,124,125,127,130,132,136,174
num_versions,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156
num_racing_versions,0,10,30,61,109,148,349,543,635,695,768,1765
