rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,False,9320,17761,2155,904,1251,5038,275242,0,270204,0,5038,223,0,0,0,0,0,1156,0
1,1,False,False,9320,17601,2155,904,1251,4881,275246,158,270207,0,4881,223,81,33,0,48,32,1156,12
2,2,False,False,9320,17456,2155,904,1251,4737,275246,302,270207,0,4737,223,119,72,0,47,72,1156,30
3,3,False,False,9320,17282,2155,904,1251,4569,275250,470,270211,0,4569,223,141,100,0,41,99,1156,63
4,4,False,False,9320,17105,2155,904,1251,4401,275252,638,270213,0,4401,223,152,111,0,41,111,1156,106
5,5,False,False,9320,16892,2155,904,1251,4241,275257,799,270217,0,4241,223,164,124,0,40,124,1156,150
6,6,False,False,9320,16241,2155,904,1251,3994,276365,1113,271258,0,3994,223,170,128,0,42,126,1156,349
7,7,False,False,9320,15855,2155,904,1251,3703,276534,1409,271422,0,3703,223,174,130,0,44,128,1156,544
8,8,False,False,9320,15607,2155,904,1251,3523,276673,1594,271556,0,3523,223,180,132,0,48,131,1156,646
9,9,False,False,9320,15444,2155,904,1251,3389,276735,1735,271611,0,3389,223,185,136,0,49,134,1156,695
10,10,False,False,9320,15291,2155,904,1251,3255,276782,1873,271654,0,3255,223,189,140,0,49,137,1156,752
inf,inf,False,False,9320,12719,2155,904,1251,0,275246,5039,270207,0,0,223,223,178,0,45,174,1156,1767
