rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,25.266104,10.402625,12.633438,1.881682,0.032977,0.045070,0.267324,0.002740,0.000234
1,1,False,True,25.634865,10.706865,12.413955,1.296950,0.035408,0.365156,0.714687,0.096334,0.005487
2,2,False,True,24.580161,10.303312,12.093986,1.151226,0.032591,0.039710,0.763469,0.182109,0.013742
3,3,False,True,25.465136,10.704155,12.290356,1.131102,0.033345,0.040704,0.962572,0.272574,0.030304
4,4,False,True,25.233801,10.719895,12.002560,1.049696,0.034092,0.046988,0.994795,0.338354,0.047406
5,5,False,True,25.044167,10.631838,11.723503,1.002777,0.032438,0.043779,1.055898,0.490902,0.063009
6,6,False,True,24.890050,10.596409,11.674481,0.487020,0.036549,0.395499,1.023622,0.517383,0.159062
7,7,False,True,23.747810,10.289335,11.168426,0.399346,0.032489,0.039377,0.985213,0.592220,0.241387
8,8,False,True,24.053874,10.460525,11.217779,0.359351,0.033370,0.044245,1.000958,0.647119,0.290510
9,9,False,True,23.897646,10.355128,11.142098,0.339346,0.032339,0.040429,0.968731,0.689631,0.329918
10,10,False,True,23.808807,10.325735,11.080487,0.316170,0.032069,0.039076,0.942977,0.719063,0.353212
inf,inf,False,True,25.916884,10.389255,11.025981,0.230495,0.031517,0.044222,1.304073,2.041867,0.849459
