rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,35.382803,17.664594,15.264049,1.996518,0.040314,0.058635,0.354511,0.003922,-0.000213
1,1,False,True,35.080163,17.528670,14.729254,1.740199,0.038940,0.063718,0.844494,0.129088,-0.005760
2,2,False,True,34.973945,17.584842,14.580267,1.229042,0.040539,0.354085,0.948286,0.221643,-0.015202
3,3,False,True,35.109422,17.721647,14.526728,1.215035,0.040980,0.068013,1.177962,0.327828,-0.031189
4,4,False,True,34.914254,17.663292,14.224640,1.173898,0.043784,0.060894,1.271352,0.424936,-0.051418
5,5,False,True,34.761221,17.552832,14.053117,1.033187,0.037619,0.069072,1.431060,0.514216,-0.070069
6,6,False,True,34.792618,17.704202,13.828082,0.921491,0.038593,0.058649,1.444581,0.632098,-0.164882
7,7,False,True,34.672222,17.684181,13.686098,0.499580,0.041276,0.365537,1.422093,0.707580,-0.265833
8,8,False,True,34.205188,17.535874,13.596676,0.442515,0.039757,0.059118,1.460796,0.771902,-0.298509
9,9,False,True,34.392336,17.765642,13.561195,0.417051,0.042096,0.069574,1.377606,0.827509,-0.331622
10,10,False,True,34.259149,17.573904,13.640452,0.389845,0.039900,0.067777,1.301739,0.877740,-0.367749
inf,inf,False,True,35.774952,17.705540,12.773530,0.226024,0.048298,0.064098,1.606061,2.461457,-0.889898
