key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,233,233,233,233,233,233,233,233,233,233,233,233
num_edges,352,352,351,350,350,350,346,342,342,336,326,288
num_ops,72,72,72,72,72,72,72,72,72,72,72,72
num_read,66,66,66,66,66,66,66,66,66,66,66,66
num_writes,6,6,6,6,6,6,6,6,6,6,6,6
num_time_edges,126,126,125,123,117,116,108,93,91,82,67,0
num_races,190,190,190,190,190,190,190,190,190,190,190,190
num_harmful,0,0,1,3,9,10,14,25,27,30,35,64
num_commute,64,64,64,64,64,64,64,64,64,64,64,64
num_covered,0,0,0,0,0,0,4,8,8,14,24,62
num_time_filtered_races,126,126,125,123,117,116,108,93,91,82,67,0
num_pkts,33,33,33,33,33,33,33,33,33,33,33,33
num_per_pkt_races,0,0,1,2,5,5,8,13,14,15,18,32
num_per_pkt_inconsistent,0,0,0,1,4,5,6,12,13,15,17,32
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,0,1,1,1,0,2,1,1,0,1,0
num_per_pkt_inconsistent_no_repeat,0,0,0,1,3,3,5,5,5,5,5,3
num_versions,5,5,5,5,5,5,5,5,5,5,5,5
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
