rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,False,233,352,72,66,6,126,190,0,64,0,126,33,0,0,0,0,0,5,0
1,1,False,False,233,352,72,66,6,126,190,0,64,0,126,33,0,0,0,0,0,5,0
2,2,False,False,233,351,72,66,6,125,190,1,64,0,125,33,1,0,0,1,0,5,0
3,3,False,False,233,349,72,66,6,123,190,3,64,0,123,33,2,1,0,1,1,5,0
4,4,False,False,233,343,72,66,6,117,190,9,64,0,117,33,5,4,0,1,3,5,0
5,5,False,False,233,342,72,66,6,116,190,10,64,0,116,33,5,5,0,0,3,5,0
6,6,False,False,233,334,72,66,6,108,190,18,64,0,108,33,8,6,0,2,5,5,0
7,7,False,False,233,319,72,66,6,93,190,33,64,0,93,33,13,12,0,1,5,5,0
8,8,False,False,233,317,72,66,6,91,190,35,64,0,91,33,14,13,0,1,5,5,0
9,9,False,False,233,308,72,66,6,82,190,44,64,0,82,33,15,15,0,0,5,5,0
10,10,False,False,233,293,72,66,6,67,190,59,64,0,67,33,18,17,0,1,5,5,0
inf,inf,False,False,233,226,72,66,6,0,190,126,64,0,0,33,32,32,0,0,3,5,0
