rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.170271,0.109457,0.022966,0.008152,0.000147,0.010806,0.018392,0.000282,-0.000006
0,0,True,True,0.168912,0.106435,0.023547,0.008462,0.000155,0.011835,0.018232,0.000178,-0.000005
1,1,False,True,0.164080,0.104838,0.021769,0.008074,0.000185,0.010859,0.018126,0.000176,-0.000005
1,1,True,True,0.170569,0.107168,0.021583,0.008315,0.000157,0.012382,0.020712,0.000191,-0.000006
2,2,False,True,0.163933,0.105407,0.020954,0.008199,0.000146,0.011316,0.017519,0.000334,-0.000006
2,2,True,True,0.172227,0.109561,0.021240,0.008132,0.000145,0.012186,0.020522,0.000380,-0.000005
3,3,False,True,0.166184,0.106857,0.021425,0.008369,0.000144,0.010688,0.018294,0.000342,-0.000006
3,3,True,True,0.172260,0.106179,0.020696,0.008751,0.000145,0.011330,0.024336,0.000672,-0.000064
4,4,False,True,0.181089,0.118684,0.020594,0.007843,0.000147,0.010990,0.022106,0.000657,-0.000008
4,4,True,True,0.175431,0.109601,0.021224,0.008111,0.000148,0.011282,0.024351,0.000632,-0.000033
5,5,False,True,0.175739,0.113525,0.020913,0.007798,0.000146,0.010837,0.021866,0.000574,-0.000008
5,5,True,True,0.177178,0.107806,0.021504,0.007916,0.000147,0.011490,0.027604,0.000626,-0.000034
6,6,False,True,0.171958,0.105259,0.023074,0.009586,0.000208,0.011372,0.021555,0.000836,-0.000008
6,6,True,True,0.179035,0.106457,0.020206,0.007726,0.000153,0.010842,0.032642,0.000917,-0.000034
7,7,False,True,0.172147,0.109102,0.019448,0.007018,0.000146,0.012591,0.022488,0.001292,-0.000011
7,7,True,True,0.194996,0.112877,0.019339,0.007153,0.000143,0.011079,0.042500,0.001793,-0.000050
8,8,False,True,0.175229,0.108942,0.021664,0.007006,0.000165,0.010985,0.024726,0.001646,-0.000037
8,8,True,True,0.186573,0.104797,0.018554,0.008619,0.000149,0.011228,0.041016,0.002049,-0.000073
9,9,False,True,0.175178,0.110653,0.018433,0.007525,0.000155,0.012232,0.024670,0.001427,-0.000011
9,9,True,True,0.196540,0.105899,0.018234,0.007423,0.000166,0.011890,0.051342,0.001502,-0.000036
10,10,False,True,0.171872,0.106852,0.019916,0.006788,0.000143,0.010874,0.024684,0.002535,-0.000019
10,10,True,True,0.206360,0.105476,0.017882,0.008867,0.000161,0.011085,0.060906,0.001897,-0.000039
inf,inf,False,True,0.181592,0.109510,0.019273,0.006616,0.000159,0.012220,0.030301,0.003429,-0.000024
inf,inf,True,True,0.222714,0.120435,0.015962,0.007615,0.000235,0.029704,0.045036,0.003630,-0.000048
