rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.155294,0.100365,0.019185,0.007635,0.000132,0.010288,0.017465,0.000187,-0.000006
1,1,False,True,0.155938,0.100584,0.019344,0.007597,0.000131,0.010326,0.017731,0.000189,-0.000006
2,2,False,True,0.155785,0.100255,0.019207,0.007581,0.000151,0.010427,0.017827,0.000299,-0.000007
3,3,False,True,0.157536,0.101341,0.019265,0.007980,0.000129,0.010882,0.017498,0.000402,-0.000007
4,4,False,True,0.157353,0.100219,0.018834,0.007525,0.000154,0.010603,0.019351,0.000624,-0.000010
5,5,False,True,0.158132,0.102528,0.018824,0.007267,0.000128,0.010937,0.017785,0.000620,-0.000011
6,6,False,True,0.156309,0.100262,0.018471,0.007115,0.000131,0.010373,0.019077,0.000836,-0.000012
7,7,False,True,0.158921,0.100846,0.017993,0.006582,0.000128,0.010238,0.021876,0.001211,-0.000015
8,8,False,True,0.158496,0.100244,0.017627,0.006642,0.000128,0.010494,0.021889,0.001423,-0.000017
9,9,False,True,0.167269,0.101310,0.019240,0.009143,0.000156,0.010952,0.024779,0.001636,-0.000020
10,10,False,True,0.161592,0.099934,0.017067,0.006191,0.000127,0.010350,0.025904,0.001967,-0.000022
inf,inf,False,True,0.166702,0.100611,0.014755,0.004962,0.000124,0.010805,0.031491,0.003887,-0.000035
