rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.232964,0.130872,0.041352,0.017736,0.000198,0.012081,0.030343,0.000322,-0.000005
0,0,True,True,0.241477,0.133849,0.043726,0.019951,0.000241,0.011572,0.031626,0.000406,-0.000021
1,1,False,True,0.257323,0.127225,0.042372,0.016522,0.000219,0.011054,0.057629,0.002231,-0.000009
1,1,True,True,0.247581,0.130662,0.039751,0.017077,0.000217,0.011498,0.046269,0.002050,-0.000008
2,2,False,True,0.270744,0.126711,0.043927,0.017423,0.000235,0.012067,0.066943,0.003372,-0.000018
2,2,True,True,0.271214,0.130569,0.043393,0.017116,0.000186,0.011411,0.065040,0.003429,-0.000011
3,3,False,True,0.269559,0.120444,0.039916,0.014644,0.000174,0.012193,0.077507,0.004609,-0.000014
3,3,True,True,0.283670,0.135389,0.039251,0.015287,0.000231,0.011141,0.077287,0.004974,-0.000050
4,4,False,True,0.281745,0.128619,0.038437,0.014270,0.000186,0.013295,0.082145,0.004718,-0.000016
4,4,True,True,0.288177,0.123312,0.040172,0.016310,0.000237,0.012140,0.090840,0.005059,-0.000048
5,5,False,True,0.278989,0.131623,0.038345,0.013377,0.000182,0.013171,0.076817,0.005401,-0.000017
5,5,True,True,0.319230,0.133999,0.039092,0.014974,0.000252,0.013582,0.111054,0.006161,-0.000054
6,6,False,True,0.295653,0.137883,0.036972,0.013932,0.000202,0.011536,0.088596,0.006449,-0.000019
6,6,True,True,0.306039,0.126394,0.038918,0.013438,0.000202,0.012052,0.107944,0.006982,-0.000052
7,7,False,True,0.305798,0.130127,0.038671,0.012921,0.000268,0.012019,0.104253,0.007457,-0.000022
7,7,True,True,0.319976,0.125353,0.038171,0.012418,0.000185,0.013569,0.122226,0.007939,-0.000055
8,8,False,True,0.301767,0.126641,0.038828,0.012335,0.000227,0.011644,0.104283,0.007726,-0.000023
8,8,True,True,0.333037,0.125893,0.038651,0.012218,0.000169,0.012908,0.133279,0.009805,-0.000057
9,9,False,True,0.316020,0.130302,0.038576,0.012562,0.000199,0.013971,0.110534,0.009795,-0.000028
9,9,True,True,0.333073,0.120153,0.037354,0.010797,0.000160,0.012835,0.141710,0.009954,-0.000062
10,10,False,True,0.305829,0.124070,0.036979,0.011049,0.000184,0.013937,0.109233,0.010287,-0.000029
10,10,True,True,0.358024,0.131547,0.037730,0.011083,0.000174,0.013148,0.152901,0.011327,-0.000065
inf,inf,False,True,0.295568,0.135226,0.034691,0.007849,0.000151,0.012293,0.089591,0.015666,-0.000042
inf,inf,True,True,0.304010,0.126686,0.036037,0.008027,0.000157,0.011313,0.104300,0.017356,-0.000077
