rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.206271,0.113654,0.037838,0.015749,0.000159,0.010353,0.028094,0.000386,-0.000005
1,1,False,True,0.226936,0.117489,0.037689,0.014469,0.000162,0.010324,0.044208,0.002548,-0.000014
2,2,False,True,0.241022,0.116890,0.037191,0.014225,0.000191,0.010478,0.058404,0.003594,-0.000019
3,3,False,True,0.254834,0.114843,0.036223,0.013050,0.000153,0.010844,0.074348,0.005318,-0.000024
4,4,False,True,0.254419,0.112878,0.036285,0.012908,0.000156,0.010648,0.076617,0.004870,-0.000024
5,5,False,True,0.265971,0.116695,0.036472,0.013692,0.000185,0.011140,0.081198,0.006528,-0.000030
6,6,False,True,0.267739,0.116051,0.036078,0.012277,0.000148,0.010660,0.085752,0.006709,-0.000032
7,7,False,True,0.273408,0.113224,0.034985,0.011755,0.000152,0.011058,0.094264,0.007901,-0.000038
8,8,False,True,0.276630,0.113621,0.034866,0.011381,0.000148,0.010420,0.097869,0.008252,-0.000039
9,9,False,True,0.296266,0.123855,0.034714,0.010314,0.000147,0.011042,0.105200,0.010914,-0.000047
10,10,False,True,0.295937,0.115274,0.034613,0.009818,0.000146,0.011421,0.112590,0.011990,-0.000051
inf,inf,False,True,0.275211,0.118703,0.032200,0.007414,0.000146,0.011045,0.086749,0.018847,-0.000074
