rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,701,1017,165,138,27,327,3978,0,3651,0,327,139,0,0,0,0,0,21,0
1,1,False,True,701,1010,165,138,27,314,3978,13,3651,0,314,139,11,0,0,11,0,21,2
2,2,False,True,701,1008,165,138,27,303,3978,24,3651,0,303,139,21,0,0,21,0,21,2
3,3,False,True,701,1002,165,138,27,289,3978,37,3651,1,289,139,32,0,1,31,0,21,4
4,4,False,True,701,993,165,138,27,271,3978,48,3651,8,271,139,41,0,8,33,0,21,4
5,5,False,True,701,985,165,138,27,252,3978,61,3651,14,252,139,52,0,14,38,0,21,4
6,6,False,True,701,962,165,138,27,231,3988,70,3661,26,231,139,54,0,26,28,0,21,8
7,7,False,True,701,947,165,138,27,213,3988,80,3661,34,213,139,58,0,34,24,0,21,10
8,8,False,True,701,943,165,138,27,202,3988,89,3661,36,202,139,65,0,36,29,0,21,10
9,9,False,True,701,931,165,138,27,187,3988,100,3661,40,187,139,68,0,40,28,0,21,12
10,10,False,True,701,920,165,138,27,173,3994,109,3667,45,173,139,73,0,45,28,0,21,14
inf,inf,False,True,701,814,165,138,27,0,3978,207,3651,120,0,139,135,0,120,15,0,21,16
