key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10
num_events,9159,9159,9159,9159,9159,9159,9159,9159,9159,9159,9159
num_edges,54113,53524,52618,51809,50990,50253,49413,48683,47888,47097,46358
num_ops,3581,3581,3581,3581,3581,3581,3581,3581,3581,3581,3581
num_read,808,808,808,808,808,808,808,808,808,808,808
num_writes,2773,2773,2773,2773,2773,2773,2773,2773,2773,2773,2773
num_time_edges,40967,40291,39343,38524,37700,36963,36176,35472,34695,33911,33173
num_races,2035789,2035789,2035789,2035789,2035789,2035789,2035789,2035789,2035789,2035789,2035789
num_harmful,0,676,1624,2443,3267,4004,4791,5495,6272,7055,7791
num_commute,1994822,1994822,1994822,1994822,1994822,1994822,1994822,1994822,1994822,1994822,1994822
num_covered,0,0,0,0,0,0,0,0,0,1,3
num_time_filtered_races,40967,40291,39343,38524,37700,36963,36176,35472,34695,33911,33173
num_pkts,103,103,103,103,103,103,103,103,103,103,103
num_per_pkt_races,0,48,64,69,79,83,83,86,86,86,86
num_per_pkt_inconsistent,0,37,49,60,65,69,73,73,73,73,73
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,11,15,9,14,14,10,13,13,13,13
num_per_pkt_inconsistent_no_repeat,0,37,48,53,51,51,51,51,51,51,51
num_versions,732,732,732,732,732,732,732,732,732,732,732
num_racing_versions,0,59,72,103,109,103,103,105,114,118,130
