key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,24612,24612,24612,24612,24612,24612,24612,24612,24612,24612,24612,24612
num_edges,96923,96699,95951,95337,94623,93948,92987,92273,91489,90932,90254,34012
num_ops,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376
num_read,2163,2163,2163,2163,2163,2163,2163,2163,2163,2163,2163,2163
num_writes,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213
num_time_edges,63261,62862,62031,61372,60635,59964,59297,58690,57954,57427,56773,0
num_races,4705379,4705379,4705379,4705379,4705379,4705379,4705379,4705379,4705379,4705379,4705379,4705379
num_harmful,0,399,1230,1889,2626,3297,3964,4570,5304,5831,6485,63056
num_commute,4642118,4642118,4642118,4642118,4642118,4642118,4642118,4642118,4642118,4642118,4642118,4642118
num_covered,0,0,0,0,0,0,0,1,3,3,3,205
num_time_filtered_races,63261,62862,62031,61372,60635,59964,59297,58690,57954,57427,56773,0
num_pkts,226,226,226,226,226,226,226,226,226,226,226,226
num_per_pkt_races,0,95,101,121,131,139,139,148,149,157,158,219
num_per_pkt_inconsistent,0,90,97,113,127,129,137,138,146,154,154,180
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,2
num_per_pkt_entry_version_race,0,5,4,8,4,10,2,10,3,3,4,37
num_per_pkt_inconsistent_no_repeat,0,90,97,108,112,110,113,110,114,114,114,107
num_versions,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419
num_racing_versions,0,74,161,196,225,255,279,360,318,342,288,965
