rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,7694,10606,1513,968,545,1416,98172,0,96756,0,1416,236,0,0,0,0,0,957,0
1,1,False,True,7694,10601,1513,968,545,1309,98172,107,96756,0,1309,236,62,60,0,2,60,957,1
2,2,False,True,7694,10590,1513,968,545,1255,98172,161,96756,0,1255,236,67,64,0,3,64,957,7
3,3,False,True,7694,10534,1513,968,545,1181,98172,235,96756,0,1181,236,86,79,0,7,72,957,7
4,4,False,True,7694,10481,1513,968,545,1118,98172,298,96756,0,1118,236,95,84,0,11,73,957,6
5,5,False,True,7694,10426,1513,968,545,1064,98172,352,96756,0,1064,236,97,94,0,3,79,957,10
6,6,False,True,7694,10190,1513,968,545,1023,98172,393,96756,0,1023,236,107,95,0,12,75,957,11
7,7,False,True,7694,10069,1513,968,545,1001,98172,415,96756,0,1001,236,108,105,0,3,82,957,8
8,8,False,True,7694,9962,1513,968,545,945,98172,471,96756,0,945,236,116,113,0,3,81,957,9
9,9,False,True,7694,9904,1513,968,545,919,98172,497,96756,0,919,236,118,115,0,3,82,957,10
10,10,False,True,7694,9850,1513,968,545,888,98172,528,96756,0,888,236,127,116,0,11,78,957,7
inf,inf,False,True,7694,9438,1513,968,545,0,98172,1299,96756,117,0,236,226,160,20,46,72,957,16
