rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,358.022538,76.852883,275.756408,1.508020,1.575796,2.139874,0.111859,0.071413,-0.006239
1,1,False,True,372.459270,76.777866,272.110869,1.443696,1.575154,2.120135,0.346427,1.115775,-16.969299
2,2,False,True,468.666198,76.619422,273.753248,1.441237,1.546637,2.114940,0.732308,1.767644,-110.690712
3,3,False,True,542.550121,76.723108,277.372780,1.387406,1.595686,2.134720,1.068431,2.474855,-179.793085
4,4,False,True,627.345699,77.941159,281.159966,1.404532,1.605856,2.133546,1.385694,3.190111,-258.524781
5,5,False,True,704.047951,77.544706,286.977203,1.331470,1.593248,2.131963,1.690623,3.777051,-329.001634
6,6,False,True,749.214676,77.207950,274.491004,1.325889,1.561512,2.119983,1.934114,4.219987,-386.354183
7,7,False,True,807.081065,77.680624,271.192867,1.304737,1.583607,2.141115,2.158419,4.624770,-446.394874
8,8,False,True,875.567928,77.610044,271.908506,1.265973,1.581156,2.123107,2.426321,5.098346,-513.554419
9,9,False,True,927.179881,77.679374,273.905150,1.292282,1.572403,2.122192,2.742743,5.680356,-562.185325
10,10,False,True,1026.390446,77.564074,290.166308,1.265958,1.572389,2.164169,3.063416,6.202307,-644.391773
inf,inf,False,True,8059.014989,88.863760,181.502028,0.521841,1.487046,2.117798,24.223896,39.795707,-7720.502857
