key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804
num_edges,20130,19905,19636,19360,19102,18851,18575,18352,18133,17911,17691,9216
num_ops,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
num_read,813,813,813,813,813,813,813,813,813,813,813,813
num_writes,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448
num_time_edges,10992,10717,10438,10154,9890,9639,9383,9165,8953,8737,8517,0
num_races,544123,544123,544123,544123,544123,544123,544123,544123,544123,544123,544123,544123
num_harmful,0,275,554,838,1102,1353,1609,1827,2039,2249,2465,10936
num_commute,533131,533131,533131,533131,533131,533131,533131,533131,533131,533131,533131,533131
num_covered,0,0,0,0,0,0,0,0,0,6,10,56
num_time_filtered_races,10992,10717,10438,10154,9890,9639,9383,9165,8953,8737,8517,0
num_pkts,84,84,84,84,84,84,84,84,84,84,84,84
num_per_pkt_races,0,36,42,55,61,65,70,70,72,72,73,84
num_per_pkt_inconsistent,0,34,40,49,60,64,69,69,69,69,69,70
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,2,2,6,1,1,1,1,3,3,4,14
num_per_pkt_inconsistent_no_repeat,0,34,37,43,47,49,49,46,47,47,48,48
num_versions,908,908,908,908,908,908,908,908,908,908,908,908
num_racing_versions,0,59,77,85,85,128,92,114,156,109,120,316
