rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,5474,12281,1771,735,1036,5030,319121,0,314091,0,5030,89,0,0,0,0,0,450,0
1,1,False,True,5474,11952,1771,735,1036,4647,319121,383,314091,0,4647,89,38,38,0,0,38,450,44
2,2,False,True,5474,11617,1771,735,1036,4303,319121,727,314091,0,4303,89,43,42,0,1,40,450,53
3,3,False,True,5474,11256,1771,735,1036,3928,319121,1102,314091,0,3928,89,58,56,0,2,49,450,60
4,4,False,True,5474,10908,1771,735,1036,3573,319121,1457,314091,0,3573,89,65,65,0,0,50,450,77
5,5,False,True,5474,10583,1771,735,1036,3248,319121,1782,314091,0,3248,89,70,69,0,1,50,450,54
6,6,False,True,5474,10245,1771,735,1036,2930,319121,2100,314091,0,2930,89,75,74,0,1,53,450,85
7,7,False,True,5474,9970,1771,735,1036,2659,319121,2367,314091,4,2659,89,75,74,0,1,51,450,88
8,8,False,True,5474,9709,1771,735,1036,2400,319121,2626,314091,4,2400,89,75,74,0,1,51,450,96
9,9,False,True,5474,9448,1771,735,1036,2145,319121,2876,314091,9,2145,89,76,74,0,2,52,450,78
10,10,False,True,5474,9191,1771,735,1036,1888,319121,3129,314091,13,1888,89,78,75,0,3,53,450,118
inf,inf,False,True,5474,7341,1771,735,1036,0,319121,4966,314091,64,0,89,88,76,0,12,53,450,158
