rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,13.385816,3.424029,9.119416,0.132295,0.293971,0.391894,0.011953,0.011266,0.000976
1,1,False,True,15.662821,3.518206,9.094431,0.123606,0.293222,0.382472,0.146554,0.100240,2.004048
2,2,False,True,17.685140,3.486781,9.016072,0.115964,0.301402,0.376476,0.213179,0.143093,4.032129
3,3,False,True,20.977549,3.515813,9.382185,0.112879,0.288648,0.386137,0.264518,0.261192,6.766134
4,4,False,True,22.879042,3.493309,8.955762,0.105668,0.288604,0.385580,0.274367,0.316500,9.059210
5,5,False,True,27.423052,3.529948,9.063080,0.104378,0.297744,0.387975,0.304344,0.432816,13.302737
6,6,False,True,29.108263,3.489485,8.888172,0.098543,0.289295,0.372975,0.303128,0.458991,15.207627
7,7,False,True,36.763466,3.785756,9.168493,0.096334,0.296325,0.388575,0.344868,0.579734,22.103356
8,8,False,True,40.908781,3.476430,9.051563,0.095110,0.295043,0.513232,0.481111,0.636438,26.359803
9,9,False,True,44.659679,3.436141,8.908419,0.091713,0.287257,0.375265,0.366707,0.675203,30.518951
10,10,False,True,49.010872,3.443463,8.905815,0.090562,0.286402,0.377683,0.361977,0.722828,34.822089
inf,inf,False,True,68.994987,3.542990,8.946448,0.093380,0.282581,0.368479,0.256644,0.960040,54.544395
